brocade.id,ResourceID,card,order,Archive Note,Warehouse Location (begin),Serial Number,Source Note,Source Note Language,Source Note Type
tg:rubdoc:4232,643a56ab-ada8-5856-bc6f-6d6b4c7e4a1c,Items,1,isad:rub:3291,,RA 006 / 012,,Nederlands,Noot
tg:rubdoc:3959,95727953-d36f-5d22-a306-6292b8791461,Items,1,isad:rub:3142,LB 700,RA 010 / 051,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4265,bc88e8f3-f190-53e4-98f4-eaf2cd7853b0,Items,1,isad:rub:3291,MADONNA.29,,,Nederlands,Noot
tg:rubdoc:4320,342adb3d-ccde-5da9-8cfd-e486370e6ff3,Items,1,isad:rub:3291,STUDYHEADS.06,,,Nederlands,Noot
tg:rubdoc:4009,f0610d7f-eaee-5294-a2a0-33e268f63989,Items,1,isad:rub:3145,Doos 11,RA 010 / 094,Corresponding LB-number: LB 818.,Nederlands,Noot
tg:rubdoc:4009,f0610d7f-eaee-5294-a2a0-33e268f63989,Items,2,isad:rub:3145,LB 818,RA 010 / 094,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4091,831756a7-bf60-5558-a19f-6eeb6efffd14,Items,1,isad:rub:3149,Doos 17,RA 010 / 168,,Nederlands,Noot
tg:rubdoc:4212,1cbb4a14-80f0-5bde-a9f0-c30c571c761e,Items,1,isad:rub:3140,"V17 Van Dyck documentation box 42, VD 255/1",RA 010 / 260b,,Nederlands,Noot
tg:rubdoc:4183,f1d50cee-780f-5c69-ac0a-55b4d95427f3,Items,1,isad:rub:3140,Doos 23,RA 010 / 252,,Nederlands,Noot
tg:rubdoc:4029,3e2f3a7c-e395-5e54-9052-f5e4a13f000b,Items,1,isad:rub:3146,Doos 6,RA 010 / 113,Corresponding LB-numbers: LB 115 and LB 276/5.,Nederlands,Noot
tg:rubdoc:4300,a9e3fcdd-6b37-5cdb-a8a5-31602405cebc,Items,1,isad:rub:3291,MYTHOLOGY.34,,,Nederlands,Noot
tg:rubdoc:3996,dcd7863e-fbfb-5e3e-9a74-daf8f2a8ec28,Items,1,isad:rub:3145,Doos 13,RA 010 / 081,Corresponding LB-number: LB 1445/2.,Nederlands,Noot
tg:rubdoc:3979,022cf0b4-59fd-5026-a03d-a95fff309a01,Items,1,isad:rub:3143,Doos 14,RA 010 / 068,,Nederlands,Noot
tg:rubdoc:4245,758266dd-53c7-511e-b67f-11b483a04f8b,Items,1,isad:rub:3291,OLDTESTAMENT.21,,,Nederlands,Noot
tg:rubdoc:4195,6be2cb03-bd64-5984-9e35-ed7153ac643d,Items,1,isad:rub:3140,LB 1132 / PO_023,RA 010 / 263,,Nederlands,Noot
tg:rubdoc:3980,39bd57d3-b459-546b-b9e8-5941333ed418,Items,1,isad:rub:3143,Doos 14,RA 010 / 069,,Nederlands,Noot
tg:rubdoc:4316,8f0fe8dd-5646-5d48-9194-9a12c42906c0,Items,1,isad:rub:3291,PORTRAITS.22,,,Nederlands,Noot
tg:rubdoc:4253,5dd75205-93b0-531d-9982-092197211ad1,Items,1,isad:rub:3291,YOUTH.10,,,Nederlands,Noot
tg:rubdoc:4068,25d05abb-7758-5153-ad94-49cf536b683a,Items,1,isad:rub:3147,Doos 8,RA 010 / 149,Corresponding LB-numbers: LB 377/1-2.,Nederlands,Noot
tg:rubdoc:3938,20744104-caa1-5fef-88f5-5a6525f1c4fc,Items,1,isad:rub:3142,Doos 10,RA 010 / 032,Corresponding LB-number: LB 774/3.,Nederlands,Noot
tg:rubdoc:4204,31727b3c-d887-5774-954d-35e2308fb08a,Items,1,isad:rub:3140,"V17 / Theodor Van Thulden / folder """"De Passie""""",RA 010 / 270,,Nederlands,Noot
tg:rubdoc:4013,40fa3db7-3838-5afe-91b7-1e6244a26926,Items,1,isad:rub:3146,Door 11,RA 010 / 098,Corresponding LB-number: LB 823.,Nederlands,Noot
tg:rubdoc:4156,f020127d-7259-5f66-849d-2bfcb0a266c6,Items,1,isad:rub:3144,Doos 3,RA 010 / 228,,Nederlands,Noot
tg:rubdoc:3943,9cfa0325-b039-594a-8a6c-21d9daebb7f6,Items,1,isad:rub:3142,Doos 9,RA 010 / 037,Corresponding LB-number: LB 654/7.,Nederlands,Noot
tg:rubdoc:4290,5e3eaded-df0c-5cdb-a239-647b5beadb12,Items,1,isad:rub:3291,TORRE.07,,,Nederlands,Noot
tg:rubdoc:4044,92b5f607-bcc1-5abf-942c-31804a3c4173,Items,1,isad:rub:3147,Doos 7,RA 010 / 128,Corresponding LB-number: LB 196.,Nederlands,Noot
tg:rubdoc:4101,4cbb0f27-5a17-5c5a-8ffd-b3226a69d845,Items,1,isad:rub:3149,Doos 18,RA 010 / 178,,Nederlands,Noot
tg:rubdoc:4228,14db1bde-a748-5dc9-b232-2c4baf24762d,Items,1,isad:rub:3289,,RA 006 / 002,,Nederlands,Noot
tg:rubdoc:3914,060e880b-3cbc-58fd-9f92-2b51863bd875,Items,1,isad:rub:3141,Doos 12,RA 010 / 012,Corresponding LB-number: LB 976/3.,Nederlands,Noot
tg:rubdoc:4117,b58044a2-8959-5613-8692-712e0a01ddf2,Items,1,isad:rub:3144,Doos 2,RA 010 / 193,,Nederlands,Noot
tg:rubdoc:4005,52400ba5-d25a-5eb1-9bdf-c77aa635c507,Items,1,isad:rub:3145,Doos 9,RA 010 / 090,Corresponding LB-numbers: LB 590 and LB 673/2.,Nederlands,Noot
tg:rubdoc:4269,1f185852-8a33-5c32-8bf3-e809df707bff,Items,1,isad:rub:3291,MINISTRY.17,,,Nederlands,Noot
tg:rubdoc:3955,6f396ffc-8173-5d59-9790-9e0c3426fd7a,Items,1,isad:rub:3142,Doos 11,RA 010 / 047,Corresponding LB-number: LB 792.,Nederlands,Noot
tg:rubdoc:4286,2b212daf-0454-595a-8b5a-d8bd7719ac8f,Items,1,isad:rub:3291,SAINTS.25,,,Nederlands,Noot
tg:rubdoc:4268,b4f44c60-1da7-5173-9f0b-b159c3d138cc,Items,1,isad:rub:3291,MINISTRY.08,,,Nederlands,Noot
tg:rubdoc:3954,ad08ab58-4d8b-578e-81b5-77ad546c73e2,Items,1,isad:rub:3142,Doos 10,RA 010 / 046,Corresponding LB-number: LB 687/2.,Nederlands,Noot
tg:rubdoc:4287,be543589-c8bf-562b-9ce5-5fbf39ec569d,Items,1,isad:rub:3291,SAINTS.42,,,Nederlands,Noot
tg:rubdoc:4004,40ae26e7-cc76-5ab2-b94c-f4ec83f41bd7,Items,1,isad:rub:3145,Doos 10,RA 010 / 089,Corresponding LB-number: LB 735/5.,Nederlands,Noot
tg:rubdoc:4141,4e3ec088-0c30-55a4-a6be-99b343067f10,Items,1,isad:rub:3144,Doos 16,RA 010 / 213,,Nederlands,Noot
tg:rubdoc:3903,0d14be57-b8f1-53bf-ab4e-804a7fd225fe,Items,1,isad:rub:3141,LB 1684 Ter / PR_033,RA 010 / 001,Loose documentation taken out from the original folder,Nederlands,Noot
tg:rubdoc:4053,bf19cc89-dac9-55c0-934f-a64c92fe8f30,Items,1,isad:rub:3147,Doos 7,RA 010 / 135,"Corresponding LB-numbers: LB 203/1-2, LB 237/1, LB 226 and LB 241/2.",Nederlands,Noot
tg:rubdoc:4053,bf19cc89-dac9-55c0-934f-a64c92fe8f30,Items,2,isad:rub:3147,LB 226/2,RA 010 / 135,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4116,7175b8a5-c873-5844-b92c-5d12737ab5b1,Items,1,isad:rub:3144,Doos 2,RA 010 / 192,,Nederlands,Noot
tg:rubdoc:4229,4a4a46e3-0de4-599f-a2ee-4a159e0385d4,Items,1,isad:rub:3289,,RA 006 / 003,,Nederlands,Noot
tg:rubdoc:3915,1afe8a27-e6b8-5812-9a47-264f4f5ca2f3,Items,1,isad:rub:3141,Doos 12,RA 010 / 013,Corresponding LB-numbers: LB 1036-1045.,Nederlands,Noot
tg:rubdoc:4045,919fb7f0-fa64-5fb7-a69c-0cfeb282be7a,Items,1,isad:rub:3147,Doos 6,RA 010 / 129,Corresponding LB-number: LB 152/7.,Nederlands,Noot
tg:rubdoc:4045,919fb7f0-fa64-5fb7-a69c-0cfeb282be7a,Items,2,isad:rub:3147,LB 19 / JC_057,RA 010 / 129,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4100,b97c4c53-5b52-561c-b4b9-03ceebc0d158,Items,1,isad:rub:3149,Doos 18,RA 010 / 177,,Nederlands,Noot
tg:rubdoc:3942,76053591-0b8b-5ba9-b89f-fe822739161d,Items,1,isad:rub:3142,Doos 9,RA 010 / 036,Corresponding LB-number: LB 644/1.,Nederlands,Noot
tg:rubdoc:4291,e16a3e5e-d5b1-59a3-837c-1b03f154ee7c,Items,1,isad:rub:3291,TORRE.11,,,Nederlands,Noot
tg:rubdoc:4012,da079a75-3397-5390-bfe7-7c10c607028d,Items,1,isad:rub:3145,Doos 10,RA 010 / 097,Corresponding LB-number: LB 703.,Nederlands,Noot
tg:rubdoc:4157,487b5bd6-3386-5f4d-914a-361cc5400c9c,Items,1,isad:rub:3144,Doos 4,RA 010 / 229,,Nederlands,Noot
tg:rubdoc:3939,9f099b1e-17af-5c59-9913-7510a0298c56,Items,1,isad:rub:3142,Doos 9,RA 010 / 033,Corresponding LB-number: LB 636/10.,Nederlands,Noot
tg:rubdoc:4205,49516336-0df8-5878-ad21-218fd110a0d0,Items,1,isad:rub:3140,LB 2115,RA 010 / 271,,Nederlands,Noot
tg:rubdoc:4086,5a73b56a-8f5f-5998-98c4-06036139eaf5,Items,1,isad:rub:3148,Doos 20,RA 010 / 164,,Nederlands,Noot
tg:rubdoc:4069,7464bac2-3390-5d3a-9620-2a49cfe47e1b,Items,1,isad:rub:3147,Doos 8,RA 010 / 150,Corresponding LB-number: LB 390.,Nederlands,Noot
tg:rubdoc:4317,7d0bb4a3-a16d-55e9-8d1e-b22ba7810435,Items,1,isad:rub:3291,PORTRAITS.27,,,Nederlands,Noot
tg:rubdoc:4252,ecd32164-b687-5dd9-b46a-ffa8dcd23841,Items,1,isad:rub:3291,YOUTH.08,,,Nederlands,Noot
tg:rubdoc:4194,71fcb038-6eb6-5f21-a523-760ad11e43f1,Items,1,isad:rub:3140,LB 138/9,RA 010 / 262,,Nederlands,Noot
tg:rubdoc:4301,7884b7f4-f918-5b0f-acf3-46c1a17f456b,Items,1,isad:rub:3291,MYTHOLOGY.41,,,Nederlands,Noot
tg:rubdoc:3997,905100fb-1969-5878-851e-179fe15cdf83,Items,1,isad:rub:3145,Doos 15,RA 010 / 082,,Nederlands,Noot
tg:rubdoc:3978,ec0f3bd3-b4fe-51e9-9b52-78f28cbbddd8,Items,1,isad:rub:3143,Doos 14,RA 010 / 067,,Nederlands,Noot
tg:rubdoc:4244,50627a36-59db-550c-bc38-f390d976c888,Items,1,isad:rub:3291,OLDTESTAMENT.16,,,Nederlands,Noot
tg:rubdoc:4182,f515d335-f08c-55aa-a05a-54c1aa9697cb,Items,1,isad:rub:3140,Doos 23,RA 010 / 251,,Nederlands,Noot
tg:rubdoc:4028,6e659029-0f62-5f3c-a92d-a609feafd94b,Items,1,isad:rub:3146,Doos 9,RA 010 / 112,Corresponding LB-number: LB 535.,Nederlands,Noot
tg:rubdoc:4213,b38c5544-1222-523d-8dad-fe73a64a5f28,Items,1,isad:rub:3140,LB 1755,RA 010 / 261b,,Nederlands,Noot
tg:rubdoc:4090,0753869f-9e42-5f2d-a85a-0e23162503de,Items,1,isad:rub:3149,Doos 17,RA 010 / 167,,Nederlands,Noot
tg:rubdoc:4008,8cc69957-6603-5242-a8e7-909c56546a8e,Items,1,isad:rub:3145,Doos 11,RA 010 / 093,Corresponding LB-number: LB 769.,Nederlands,Noot
tg:rubdoc:4008,8cc69957-6603-5242-a8e7-909c56546a8e,Items,2,isad:rub:3145,LB 769,RA 010 / 093,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:3958,62c6e34f-9354-52e3-8ef0-1ce7dd4d5ace,Items,1,isad:rub:3142,Doos 9,RA 010 / 050,Corresponding LB-number: LB 641/6.,Nederlands,Noot
tg:rubdoc:4264,18f6d53b-16db-5239-95e1-b1a52a095f17,Items,1,isad:rub:3291,MADONNA.27,,,Nederlands,Noot
tg:rubdoc:4321,38c9f0f9-1ceb-5d03-8ca5-01af8c1700c3,Items,1,isad:rub:3291,HUNTING.06,,,Nederlands,Noot
tg:rubdoc:4233,cd1168e0-7a6a-5958-a1ad-d99aa160b42b,Items,1,isad:rub:3292,,RA 006 / 006,,Nederlands,Noot
tg:rubdoc:4049,3506b2f6-1a47-52dd-9792-30b95acfdf97,Items,1,isad:rub:3147,Doos 7,RA 010 / 133,"Corresponding LB-numbers: LB 157/3, LB 158/2, LB 159, LB 161, LB 173, LB 175 and LB 185/29a.",Nederlands,Noot
tg:rubdoc:3919,01b82f5a-3502-571c-b622-62dbe7254a20,Items,1,isad:rub:3141,Doos 6,RA 010 / 017,Corresponding LB-number: LB 48/2.,Nederlands,Noot
tg:rubdoc:4225,439b5b4d-a57a-5b41-9a6f-f4599efabfa4,Items,1,isad:rub:3150,Doos 24,RA 010 / ADD002,,Nederlands,Noot
tg:rubdoc:4272,4b611792-a7e6-53bd-971c-9f9ea5eff4e3,Items,1,isad:rub:3291,PASSION.18,,,Nederlands,Noot
tg:rubdoc:4120,fd0085f0-a571-56dc-a237-5a8409063598,Items,1,isad:rub:3144,Doos 2,RA 010 / 195,,Nederlands,Noot
tg:rubdoc:4065,20c3de45-7ee3-59f3-8e5c-f64e468749f6,Items,1,isad:rub:3147,Doos 8,RA 010 / 146,Corresponding LB-numbers: LB 350 and LB 356/2-5.,Nederlands,Noot
tg:rubdoc:4209,1b6b90f0-7080-5b42-a37a-807be4215c8d,Items,1,isad:rub:3140,LB 926,RA 010 / 257c,,Nederlands,Noot
tg:rubdoc:3935,ee013f31-256e-59d4-8b72-2cd4e5621163,Items,1,isad:rub:1570,LB 1133,RA 010 / 030,Loose documentation taken out from the original folder,Nederlands,Noot
tg:rubdoc:4177,baa9805a-694b-55d9-9352-ee4a5a58288c,Items,1,isad:rub:3140,Doos 25,RA 010 / 246,,Nederlands,Noot
tg:rubdoc:4198,6c9cee3a-a59a-5d15-9e5d-33dc79d3535b,Items,1,isad:rub:3140,CC_011,RA 010 / 266,,Nederlands,Noot
tg:rubdoc:4032,c178fc02-2ae4-5352-ac42-ca255c21a762,Items,1,isad:rub:3146,Doos 8,RA 010 / 116,Corresponding LB-number: LB 465/2.,Nederlands,Noot
tg:rubdoc:3962,9174112a-ae8d-53c7-8b67-056f08d93a47,Items,1,isad:rub:3143,Doos 25,RA 010 / 053,,Nederlands,Noot
tg:rubdoc:4161,b3ed5f10-14ea-5d98-ad02-15e0ab4bb7ee,Items,1,isad:rub:3144,Doos 5,RA 010 / 233,,Nederlands,Noot
tg:rubdoc:4024,444ffcd5-2b58-5520-9e70-106cb246216e,Items,1,isad:rub:3146,Doos 6,RA 010 / 108,Corresponding LB-number: LB 112/3.,Nederlands,Noot
tg:rubdoc:4248,0e049887-b29a-5e84-b04f-08b66abbe717,Items,1,isad:rub:3291,OLDTESTAMENT.27,,,Nederlands,Noot
tg:rubdoc:3974,a4528a4f-beea-5ecd-b632-87da4c509265,Items,1,isad:rub:3143,Doos 10,RA 010 / 063,Corresponding LB-number: LB 654.,Nederlands,Noot
tg:rubdoc:4136,e4478baa-5643-57f5-9c38-564e986910e3,Items,1,isad:rub:3144,LB 138/5,RA 010 / 209,,Nederlands,Noot
tg:rubdoc:4136,e4478baa-5643-57f5-9c38-564e986910e3,Items,2,isad:rub:3144,LB 1440/1 / PO_564,RA 010 / 209,,Nederlands,Noot
tg:rubdoc:4073,6827c17d-1388-5ad3-a17d-41d9835e3f6c,Items,1,isad:rub:3147,Doos 8,RA 010 / 153,Corresponding LB-number: LB 394.,Nederlands,Noot
tg:rubdoc:3923,7b6702fa-90cc-5594-8ba7-f383a8d92ea7,Items,1,isad:rub:3141,Doos 11,RA 010 / 021,Corresponding LB-number: LB 822.,Nederlands,Noot
