brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,adm.note,Serial Number,Warehouse Location (begin),Warehouse Location (ende),adm.note.language,adm.note.type
tg:lhph:28066,14a12eea-3d03-5e61-9ecf-7c3b18417ec1,Items,1,tr:lh:3839,74036/4,,V 36695 / P,,,,,Nederlands,remarks
tg:lhph:32892,ff5e7e4a-3a44-5a5d-b6b5-4c98cec38835,Items,1,tr:lh:7346,195303/12,isad:lh:95167,V 998 / P,,,,,Nederlands,remarks
tg:lhph:20456,456ab48d-29b3-558e-81fe-96b3951285fd,Items,1,tr:lh:7859,203626/1449,isad:lh:94873,M 224 / P (NEG0051/3/16),,,,,Nederlands,remarks
tg:lhph:47992,e1b8b139-418c-5048-a8b5-24ea55e0b913,Items,1,tr:lh:7336,,isad:lh:117930,S 59 /P,,,,,Nederlands,remarks
tg:lhph:47992,e1b8b139-418c-5048-a8b5-24ea55e0b913,Items,2,tr:lh:7336,,isad:lh:117930,S 59 /P,,,,,Nederlands,remarks
tg:lhph:47992,e1b8b139-418c-5048-a8b5-24ea55e0b913,Items,3,tr:lh:7336,,isad:lh:117930,S 59 /P,,,,,Nederlands,remarks
tg:lhph:16837,28d08424-89e3-5a2f-8bba-e3e1a761ce30,Items,1,tr:lh:3135,63469,isad:lh:93163,S 176 / P,,,,,Nederlands,remarks
tg:lhph:27393,62ee3dee-626b-5135-8623-f723433d8944,Items,1,tr:lh:4238,82131/37,isad:lh:93323,V 36695 / P,,,,,Nederlands,remarks
tg:lhph:41145,cd3de585-388c-55c6-8a39-d91587e6f979,Items,1,,86300/5,,M 6864 / P,,,,,Nederlands,remarks
tg:lhph:17725,18fb9f64-d05a-50c8-8730-0ea9944f39ab,Items,1,,203590/1,,H 52375 / P,,,,,Nederlands,remarks
tg:lhph:46680,37d4f3eb-bbe7-53e3-aa8f-9b4bebb7d9b0,Items,1,tr:lh:3099,62186/27,isad:lh:95865,D 9565 / P,,,,,Nederlands,remarks
tg:lhph:43178,8f2c424d-7973-57b6-8c14-60bf40ce400a,Items,1,,215033,,DD 197 / P,,,,,Nederlands,remarks
tg:lhph:15718,ef56ebac-2945-5af3-b9a3-de92c61b03b2,Items,1,tr:lh:730,14308/2,,F 111 / P,,,,,Nederlands,remarks
tg:lhph:15718,ef56ebac-2945-5af3-b9a3-de92c61b03b2,Items,2,tr:lh:2711,53730/10,isad:lh:94536,F 111 / P,,,,,Nederlands,remarks
tg:lhph:15718,ef56ebac-2945-5af3-b9a3-de92c61b03b2,Items,3,,55217,,F 111 / P,,,,,Nederlands,remarks
tg:lhph:8439,4a11f8e7-338f-5c14-9de2-99d0c8ce9d33,Items,1,tr:lh:6861,169842/39,isad:lh:93429,W 144 / P,,,,,Nederlands,remarks
tg:lhph:44347,6cf10834-785c-5b89-9c78-e40930e3f889,Items,1,tr:lh:4769,93605/17,isad:lh:95775,C 413 / P,,,,,Nederlands,remarks
tg:lhph:12527,b31053dd-191b-5891-8e11-949c6639d7e4,Items,1,tr:lh:2377,45511/5,isad:lh:94330,B 8758 / P,,,,,Nederlands,remarks
tg:lhph:24946,123e57df-a900-52f0-8f70-ceda6f135da8,Items,1,tr:lh:6794,168277/1-23,isad:lh:173052,O 203 / P,,,,,Nederlands,remarks
tg:lhph:43482,92b6d570-ad53-5504-8bbe-aeb712e35cbb,Items,1,tr:lh:5801,121051,isad:lh:95563,L 9732 / P,,,,,Nederlands,remarks
tg:lhph:25654,5698ac78-acff-5c74-9068-e788de0fb21a,Items,1,tr:lh:7780,201556,isad:lh:94181,,,PH-GF-008,,,Nederlands,remarks
tg:lhph:22191,34ef5433-0c38-5784-a893-6a9ea4e676b5,Items,1,,203715/25,isad:lh:92943,FVCA / P (onbekend),,,,,Nederlands,remarks
tg:lhph:38965,e4a66ee9-54d9-5d49-b5e5-78f7949ccf74,Items,1,tr:lh:1492,27493/396,,M 2355 / P (II),,,,,Nederlands,remarks
tg:lhph:27669,a0c4fd7b-ab2f-5c24-81b3-4accf727c95b,Items,1,tr:lh:5587,111604/80,isad:lh:93617,V 36695 / P,,,,,Nederlands,remarks
tg:lhph:27669,a0c4fd7b-ab2f-5c24-81b3-4accf727c95b,Items,2,tr:lh:6885,171497/154,isad:lh:93123,V 36695 / P,,,,,Nederlands,remarks
tg:lhph:52769,4e927c9f-8857-539e-a3c7-25d8c9b0a253,Items,1,tr:lh:139964,,isad:lh:182617,,Bruikleen Vlaamse Gemeenschap - STR11726,S 935 / 489,,,Nederlands,remarks
tg:lhph:50754,7ca8fab8-57a7-575b-bf1b-1256dd820623,Items,1,,221448/1,,HH 66 / P,,,,,Nederlands,remarks
tg:lhph:36582,12075aa0-8d1a-5d0c-bb02-16460b590df8,Items,1,tr:lh:323,6935,,B 435 / P,"Opdracht op de achterkant: 'aan Hendrick Conscience van wege moeder
Benoit, St.Job in 't Goor, 23 januari 1881'",,,,Nederlands,remarks
tg:lhph:36582,12075aa0-8d1a-5d0c-bb02-16460b590df8,Items,2,tr:lh:1900,33723/1,,B 435 / P,"Opdracht op de achterkant: 'Den goeden dichter Jan van Beers zijne
dichterlijke gade en familie, vriendschappelijk herinnering, moeder Benoit Monie / te Goor, 28-06-1882.'",,,,Nederlands,remarks
tg:lhph:36582,12075aa0-8d1a-5d0c-bb02-16460b590df8,Items,3,tr:lh:5807,121750/24,isad:lh:94065,B 435 / P,"Opdracht op de achterkant: 'Vriendelijk herinnering aan de weledele
mevrouw Degive-Ledelier  
moeder Benoit, ST.Job in 't Goor, 9 november 1881.'",,,,Nederlands,remarks
tg:lhph:36582,12075aa0-8d1a-5d0c-bb02-16460b590df8,Items,4,,130356/2,,B 435 / P,,,,,Nederlands,remarks
tg:lhph:2034,b746f23a-7604-544b-b451-74f042d83a35,Items,1,tr:lh:9946,235438/126,isad:lh:93182,P 45 / P,,,,,Nederlands,remarks
tg:lhph:31247,231315b9-d1f7-58d9-be5c-1a99c405fa2c,Items,1,tr:lh:3838,74450/1,,J 2502 / P,,,,,Nederlands,remarks
tg:lhph:4949,ab9cd9ec-570a-5665-a22c-12f5d0bcffea,Items,1,tr:lh:6666,164356/16,isad:lh:93701,A 3885 / P,,,,,Nederlands,remarks
tg:lhph:28436,5ed1e1d3-dab3-54c5-8a8d-5788988d7a40,Items,1,tr:lh:5346,105173/1,isad:lh:95238,P 852 / P,,,,,Nederlands,remarks
tg:lhph:6974,87efef45-23fc-546c-b6f4-3305d0e83fbf,Items,1,tr:lh:7000,176951/1,isad:lh:163371,S 935 / P,,,,,Nederlands,remarks
tg:lhph:18080,e928e687-fd37-5c0f-96aa-130e4a09bee7,Items,1,tr:lh:7827,202254/20,isad:lh:94871,R 286 / P,,,,,Nederlands,remarks
tg:lhph:36428,162f80b5-83b9-5426-b007-89d576063f18,Items,1,,177438/2A,,B 417 / P,,,,,Nederlands,remarks
tg:lhph:17375,f6d5f069-12ec-5f36-84a0-7d76703e3816,Items,1,tr:lh:6249,145036/13,isad:lh:94031,S 6579 / P,,,,,Nederlands,remarks
tg:lhph:41515,23b87ef8-ad43-5961-85da-d1c9148999a6,Items,1,tr:lh:6796,169039/51,isad:lh:93791,ZZ 15 / P,,,,,Nederlands,remarks
tg:lhph:8593,4b8d844e-9ece-5553-a1e4-6b909f06e7c5,Items,1,tr:lh:5109,101006,isad:lh:93971,V 714 / P,,,,,Nederlands,remarks
tg:lhph:15348,92b76412-639e-5558-a782-3666d8977ca8,Items,1,tr:lh:5834,122793/315,isad:lh:92962,R 626 / P,,,,,Nederlands,remarks
tg:lhph:43528,286bf092-d87a-56e0-b13c-903c465661de,Items,1,,75229,,M 762 / P (GF),,,,,Nederlands,remarks
tg:lhph:20006,1d576b2f-3628-5a50-9c54-d7d68da59186,Items,1,tr:lh:2408,47506/1,isad:lh:93220,B 668 / P,,,,,Nederlands,remarks
tg:lhph:20006,1d576b2f-3628-5a50-9c54-d7d68da59186,Items,2,,202251/16,,B 668 / P,,,,,Nederlands,remarks
tg:lhph:25204,34ad1267-fd20-51f7-be7d-908f1c5c4bd6,Items,1,tr:lh:5587,111604/2,isad:lh:93687,V 34766 / P,,,,,Nederlands,remarks
tg:lhph:47838,68b3c567-b2f3-591c-a44a-ea76b28aed4c,Items,1,tr:lh:7336,186437/19b,isad:lh:103960,S 59 /P,,,,,Nederlands,remarks
tg:lhph:45805,3d348d54-cfa1-51f9-924c-fb4a981d3062,Items,1,tr:lh:6989,174472/11,isad:lh:93721,D 715 / P,,,,,Nederlands,remarks
tg:lhph:27239,e9b4e18e-6ea1-51ba-a254-94daabfb5493,Items,1,,235729/1,,P 342 / P,,,,,Nederlands,remarks
tg:lhph:12177,5e109b3f-e240-56f8-85e5-cf4a81b79c33,Items,1,,232940,,B 655 / P,,,,,Nederlands,remarks
tg:lhph:8069,9cbeec94-f7f8-5723-ba8a-d2667795edc3,Items,1,,89792/5,,W 803 / P,,,,,Nederlands,remarks
tg:lhph:39227,461e6fdc-4507-5723-b9b9-4265f02929fb,Items,1,,99091/3,,M 295 / P,,,,,Nederlands,remarks
tg:lhph:2464,93974107-9b64-5373-b5fd-3a256d924912,Items,1,tr:lh:6342,234609/1,,G 395 / P,,,,,Nederlands,remarks
tg:lhph:31617,3492ac03-c64b-5b56-b61f-f06159e39d27,Items,1,tr:lh:3810,73315/a,,J 3354 / P,,,,,Nederlands,remarks
tg:lhph:30905,4413411b-2b7d-5eb0-8c9c-168229b4a0bc,Items,1,tr:lh:5552,110081/180,isad:lh:94734,G 4265 / P,,,,,Nederlands,remarks
tg:lhph:52339,1c2c9b60-a8c2-551c-8a83-2c3ac2649a31,Items,1,tr:lh:139964,,isad:lh:182272,,Bruikleen Vlaamse Gemeenschap - STR10275,S 935 / 483,,,Nederlands,remarks
tg:lhph:32938,4896b2fd-ce28-52fd-9ecc-33bee093be96,Items,1,,27381/547,,K 288 / P,,,,,Nederlands,remarks
tg:lhph:32938,4896b2fd-ce28-52fd-9ecc-33bee093be96,Items,2,tr:lh:6376,148917/1,,K 288 / P,,,,,Nederlands,remarks
tg:lhph:35654,ea34215a-d275-5612-8118-9afb25a326be,Items,1,tr:lh:6898,170828/43,isad:lh:95492,L 319 / P,,,,,Nederlands,remarks
tg:lhph:48364,38cab154-1246-51d4-86e0-6bbb2b09bb35,Items,1,,,isad:lh:120101,,,TT 93 / 77,,,Nederlands,remarks
tg:lhph:28965,e842919a-6ebf-5a37-a7ec-0b255d3d8568,Items,1,tr:lh:9947,235810/44-46,isad:lh:95275,PP 81 / P,,,,,Nederlands,remarks
tg:lhph:32191,99bde047-f6bd-56f1-9e67-c959d5e7cfba,Items,1,tr:lh:6444,158223/38,isad:lh:93254,J 422 / P (III),,,,,Nederlands,remarks
tg:lhph:6427,57450d9c-183d-560b-af93-8bd2e7beddef,Items,1,,234798/124,,Y 952 / P,,,,,Nederlands,remarks
tg:lhph:37669,2d5047a5-281b-57de-a04a-8c47148f7a69,Items,1,tr:lh:4094,79262/3,isad:lh:93234,M 1561 / P,,,,,Nederlands,remarks
tg:lhph:29677,cdda7c70-b150-5f80-ac20-4d449885c3be,Items,1,tr:lh:9510,218458/1,isad:lh:95309,B 1183 / P (NEG0001/1/1),,,,,Nederlands,remarks
tg:lhph:34946,52ec90d5-b4d6-52c0-a979-72eca446bc35,Items,1,tr:lh:3747,73649/2,,L 2254 / P,,,,,Nederlands,remarks
tg:lhph:53482,b4d646e2-26ec-5feb-a817-09692e4f5b97,Items,1,tr:lh:139964,,isad:lh:161174,,Bruikleen Vlaamse Gemeenschap - STR11943,S 935 / 490,,,Nederlands,remarks
tg:lhph:26582,f7ce3906-9e2c-595c-b252-3a95fcc180a4,Items,1,,179931/2,,O 3945 / P,,,,,Nederlands,remarks
tg:lhph:41846,b3069661-f153-5ffb-bf65-1c5ff2ad182b,Items,1,,145316/1,,B 7535 / P,,,,,Nederlands,remarks
tg:lhph:21247,123f10e5-8759-59ff-bf14-96ab40f92f71,Items,1,tr:lh:7859,203626/1755,isad:lh:94873,M 224 / P (DIA0061/3/3A),,,,,Nederlands,remarks
tg:lhph:47091,7b2ef021-0931-50eb-95f6-e05d14726a58,Items,1,tr:lh:5832,123650/33,isad:lh:93281,F 162 / P,,,,,Nederlands,remarks
tg:lhph:14109,3ccf43b1-d27a-55a5-8bc8-859c74fabe07,Items,1,,234887,,D 11498 / P,,,,,Nederlands,remarks
tg:lhph:42769,226e1d1d-a249-5376-8548-440856b567e7,Items,1,tr:lh:7601,198979/15,isad:lh:93452,G 9947 / P,,,,,Nederlands,remarks
tg:lhph:16134,50be11ae-94c0-5b2b-bd54-b64ad119c2f9,Items,1,tr:lh:2869,57378/42,isad:lh:93191,G 322 / P,,,,,Nederlands,remarks
tg:lhph:40754,0a7492d5-dc54-5409-bece-1a818fc4deb5,Items,1,tr:lh:882,16079/76,isad:lh:93498,B 7413 / P,,,,,Nederlands,remarks
tg:lhph:40754,0a7492d5-dc54-5409-bece-1a818fc4deb5,Items,2,tr:lh:1102,19889/5,isad:lh:93142,B 7413 / P,,,,,Nederlands,remarks
tg:lhph:42293,89ded0a7-bdeb-5b9a-af2f-98c4111987d3,Items,1,,233973/1,,W 1647 / P,,,,,Nederlands,remarks
tg:lhph:22892,63a3cc2c-f5ec-5ac8-b4e2-2ad6410be914,Items,1,,88690/2,,H 9138 / P,,,,,Nederlands,remarks
tg:lhph:13336,340ba13f-fe44-5c14-9860-3298b932b5ac,Items,1,tr:lh:4895,97870/4,,B 8203 / P,,,,,Nederlands,remarks
tg:lhph:45556,aef9344f-ee45-5459-b73b-26aee66d03ee,Items,1,,203880,,J 4453 / P (II),,,,,Nederlands,remarks
tg:lhph:9228,79c01cbb-8d10-5380-8afc-bdf50e998412,Items,1,tr:lh:6989,174468/2,isad:lh:92953,C 10105 / P,,,,,Nederlands,remarks
tg:lhph:38066,22f72890-ff4c-5fef-a045-d179dd2e4627,Items,1,tr:lh:9510,218458/2316,isad:lh:95309,B 1183 / P (NEG00249/1/2A),,,,,Nederlands,remarks
tg:lhph:23780,5f851ae5-209c-5db8-b055-861c4dc5bb2f,Items,1,tr:lh:7009,176412/1,isad:lh:93322,I 5578815 / P,,,,,Nederlands,remarks
tg:lhph:26078,5a596a16-eb75-5071-abdb-c71cae4a87ed,Items,1,tr:lh:3791,73611/3,isad:lh:93183,T 37468 / P,,,,,Nederlands,remarks
tg:lhph:24045,148b157e-fe28-5355-bc73-96cd5b7c4b11,Items,1,tr:lh:2451,47303/38,isad:lh:95005,M 8235 / P (map IV-V),,,,,Nederlands,remarks
tg:lhph:2937,f9bcc293-4d2f-5a93-8d2a-a1adf9fc9334,Items,1,tr:lh:6603,163139,isad:lh:93324,G 395 / P,,,,,Nederlands,remarks
tg:lhph:18829,c5ef7e8f-6397-51e7-925e-9c69c04a8bc3,Items,1,tr:lh:7859,203626/502,isad:lh:94873,M 224 / P (NEG0017/6/22),,,,,Nederlands,remarks
tg:lhph:53178,820673a4-163c-5b04-8576-24cda5275130,Items,1,tr:lh:139964,,isad:lh:161020,,Bruikleen Vlaamse Gemeenschap - STR90,S 935 / 480,,,Nederlands,remarks
tg:lhph:1618,ab7590e9-443e-5cd2-b1aa-9117020b197a,Items,1,tr:lh:5813,121987/29,isad:lh:93227,C 2753 / P,,,,,Nederlands,remarks
tg:lhph:30456,c2a0f254-d1f1-541a-b689-573818dda5b2,Items,1,tr:lh:9510,218458/249,isad:lh:95309,B 1183 / P (NEG0024/4/29),,,,,Nederlands,remarks
tg:lhph:37393,7b532520-7f6b-5d73-a96b-1cfa6fa7bb7f,Items,1,,14348/17,,LL 12 / P (I),,,,,Nederlands,remarks
tg:lhph:3625,c2d13919-5c01-5e5d-a37d-ba7797a463cb,Items,1,tr:lh:5448,106978/67,isad:lh:93416,A 1811 / P,,,,,Nederlands,remarks
tg:lhph:29227,3090e9d6-578d-5d94-aa5a-c2f0a2e8d77a,Items,1,tr:lh:6378,148946/136,isad:lh:94672,V 724 / P,,,,,Nederlands,remarks
tg:lhph:18983,f806798a-7e25-5adb-b73f-49e748316f38,Items,1,tr:lh:7859,203626/587,isad:lh:94873,M 224 / P (NEG0020/4/17),,,,,Nederlands,remarks
tg:lhph:48734,70d42e15-0a2b-5d1a-b38b-b42e2732b3e8,Items,1,tr:lh:9579,,isad:lh:126771,C 30702 / P (Literaire vrienden),,,,,Nederlands,remarks
tg:lhph:35204,65da215f-d8ea-5af1-a006-b52beb925c47,Items,1,tr:lh:2713,53519/8,isad:lh:93479,B 366 / P,,,,,Nederlands,remarks
tg:lhph:19691,3592cf5b-2b69-512e-939f-8565007d3e6a,Items,1,tr:lh:7859,203626/1033,isad:lh:94873,M 224 / P (NEG0039/4/4),,,,,Nederlands,remarks
tg:lhph:37239,c7de17db-32d2-5f5d-a9f9-40c1de253ef1,Items,1,tr:lh:1914,34108/1,isad:lh:92959,L 9605 / P,,,,,Nederlands,remarks
tg:lhph:6077,32515a05-e1c8-59da-90e3-072decccb159,Items,1,tr:lh:15,294,isad:lh:93443,A 1814 / P,,,,,Nederlands,remarks
tg:lhph:20905,c092ffe4-40dc-5de3-afc0-fbae2206509f,Items,1,tr:lh:7314,,isad:lh:92943,FVCA / P (1953-1955/34),,,,,Nederlands,remarks
tg:lhph:42339,e784c940-741e-5e8f-b5ba-930dbfd2f029,Items,1,tr:lh:7512,197738/8,,VV 409 / P,,,,,Nederlands,remarks
tg:lhph:14559,6116b1b4-60c5-5af9-bf73-babf0484e436,Items,1,tr:lh:7314,,isad:lh:92944,FVCA / P (1959-1961/62-68),,,,,Nederlands,remarks
tg:lhph:40304,f1b0470e-35b9-5cdb-9b08-a71051daaf31,Items,1,tr:lh:3699,71555,isad:lh:93358,M 458 / P,,,,,Nederlands,remarks
tg:lhph:16564,8389e5f1-5859-56a1-b17f-6576d5094900,Items,1,,103149/6,,R 9812 / P,,,,,Nederlands,remarks
tg:lhph:22938,a7c0615c-2089-59da-924c-44f7820b7aec,Items,1,tr:lh:7859,203626/2460,isad:lh:94873,M 224 / P (NEG0081/4/8),,,,,Nederlands,remarks
tg:lhph:21617,110441c5-557b-58d6-9a6f-2903867dc9d3,Items,1,,202311/1,isad:lh:94963,R 89495 / P,,,,,Nederlands,remarks
tg:lhph:12874,4a5f2245-ab61-53ac-9a8c-4fff7139f71a,Items,1,,131093/2,,C 1902 / P,,,,,Nederlands,remarks
tg:lhph:26428,3a3a773c-909c-551f-bcaf-e379bab687e5,Items,1,tr:lh:6462,158575/201,isad:lh:93743,V 3484 / P,,,,,Nederlands,remarks
tg:lhph:24415,b5cae2ab-109e-5321-bbe4-8c688a31a00c,Items,1,tr:lh:6749,167271/1,isad:lh:95043,T 347 / P,,,,,Nederlands,remarks
tg:lhph:10849,cbf6912f-c457-59b0-aaf7-0eba3a799fba,Items,1,tr:lh:9945,132307,isad:lh:94057,B 212 / P,,,,,Nederlands,remarks
tg:lhph:787,294f1efa-2bcd-5830-a806-da103c89aa09,Items,1,tr:lh:6167,142298/13,isad:lh:93029,B 7307 / P,,,,,Nederlands,remarks
tg:lhph:38436,70cc673c-2a39-5451-a157-4299d357e56f,Items,1,tr:lh:9510,218458/2446,isad:lh:95309,B 1183 / P (NEG00261/1/6),,,,,Nederlands,remarks
tg:lhph:9678,75a03a91-10ac-5125-9407-ef60ef5b48de,Items,1,tr:lh:3941,75785/4,,S 587 / P,,,,,Nederlands,remarks
tg:lhph:45106,44812479-7906-597f-a745-4abb11f6ef4e,Items,1,,234851/30,isad:lh:94529,D 239 / P,,,,,Nederlands,remarks
tg:lhph:13766,2041b97e-7062-5b77-b9fa-eefd130181ff,Items,1,tr:lh:1182,20394/1,isad:lh:94469,C 315 / P,,,,,Nederlands,remarks
tg:lhph:30006,6a3e232b-bc18-5072-b480-be3ec3dbde49,Items,1,tr:lh:7634,212163/2,,G 354 / P,,,,,Nederlands,remarks
tg:lhph:1248,2eb345ab-9eb8-5c94-9ca2-6086a5703afc,Items,1,tr:lh:3033,60532,,B 709 / P,,,,,Nederlands,remarks
tg:lhph:3275,01f3759e-c002-5430-8a0f-a36e9088441b,Items,1,tr:lh:5991,131386/85,isad:lh:93287,G 994 / P,,,,,Nederlands,remarks
tg:lhph:51515,9e730a39-24f5-5184-9acc-71fa172b5968,Items,1,tr:lh:139964,,isad:lh:182271,,Bruikleen Vlaamse Gemeenschap - GLN000601,S 935 / 1060,,,Nederlands,remarks
tg:lhph:53528,bc628fcf-5e6e-57ed-8570-914f941e1f7b,Items,1,tr:lh:139964,,isad:lh:163248,,Bruikleen Vlaamse Gemeenschap - STR12878,S 935 / 494,,,Nederlands,remarks
tg:lhph:10799,f45bf05a-60e9-5322-aeab-9b30309adcb7,Items,1,tr:lh:3809,73625/7,,B 165 / P,,,,,Nederlands,remarks
tg:lhph:43601,57f510a6-f8fc-5fdf-bfb7-f6328a00f949,Items,1,tr:lh:2301,43596/1-13,isad:lh:95501,H 5084 / P (GF),,,,,Nederlands,remarks
tg:lhph:15061,c52e7818-92d8-5891-a087-21757f068500,Items,1,tr:lh:4968,98627,,R 58325 / P,,,,,Nederlands,remarks
tg:lhph:42913,3c00a8ab-67fd-5022-9272-4fd58dc976ba,Items,1,tr:lh:7191,179166/80,isad:lh:93778,B 9078 / P,,,,,Nederlands,remarks
tg:lhph:857,9fbf32c1-9c50-5806-ab07-b875c544b20e,Items,1,tr:lh:5038,99592,,W 763 / P,,,,,Nederlands,remarks
tg:lhph:857,9fbf32c1-9c50-5806-ab07-b875c544b20e,Items,2,,233987,,W 763 / P,,,,,Nederlands,remarks
tg:lhph:22312,96d81b6b-2477-5313-9861-3d427d0d1468,Items,1,,98796/3,,S 9994 / P,,,,,Nederlands,remarks
tg:lhph:37813,8762dbb4-322b-52b5-9d4f-b9e8244614a0,Items,1,,76370/6,,M 181 / P,,,,,Nederlands,remarks
tg:lhph:36701,752dd624-82a1-5c7b-80ff-a0bb0c618dad,Items,1,tr:lh:4127,80125/17,,L 5574 / P (II),,,,,Nederlands,remarks
tg:lhph:5572,5f087c22-9cb9-5e8d-9236-b0d25e0d4ce5,Items,1,,234798/238,,Y 952 / P,,,,,Nederlands,remarks
tg:lhph:33503,0d966cd0-59c2-5e55-84b2-a52e886222c6,Items,1,tr:lh:9510,218458/1064,isad:lh:95309,B 1183 / P (NEG00109/2/5),,,,,Nederlands,remarks
tg:lhph:5088,81a8f7ac-deb7-572a-9017-4ee5de391951,Items,1,tr:lh:1647,29661,,A 452 / P,,,,,Nederlands,remarks
tg:lhph:5088,81a8f7ac-deb7-572a-9017-4ee5de391951,Items,2,tr:lh:3026,60421,,A 452 / P,,,,,Nederlands,remarks
tg:lhph:52010,eb22bd3a-fe54-5663-94b8-1411b4d16824,Items,1,tr:lh:140087,,isad:lh:154988,,,G 2932 / 212 (20),,,Nederlands,remarks
tg:lhph:19941,c72f1899-dabd-5b42-aad9-3660c7d3bab5,Items,1,,202239/1,isad:lh:94913,C 142 / P,,,,,Nederlands,remarks
tg:lhph:8340,ab2d9b18-92cb-5198-b38d-3f7a082c0d8e,Items,1,tr:lh:7333,186292/4,,V 462 / P,,,,,Nederlands,remarks
tg:lhph:46403,514b5883-bc96-5dbf-aaca-546022f4decc,Items,1,tr:lh:3327,203869/59,isad:lh:109797,C 395 / ARC (382),,,,,Nederlands,remarks
tg:lhph:10263,557288f2-106e-5e03-9345-b095a7d000ef,Items,1,tr:lh:6415,148737/11,isad:lh:176325,D 125 / P (2) (15),,,,,Nederlands,remarks
tg:lhph:25087,cf443891-affd-52a4-99f9-6ff9d0981ea7,Items,1,tr:lh:5834,122673/48,isad:lh:92962,V 34597 / P,,,,,Nederlands,remarks
tg:lhph:22742,c3dd96b2-d6fd-5d33-b68e-f5d4046c8e71,Items,1,tr:lh:7859,203626/2376,isad:lh:94873,M 224 / P (NEG0079/1/30),,,,,Nederlands,remarks
tg:lhph:44594,8c44f91a-e160-5a6b-86ce-f0669de39f12,Items,1,tr:lh:9192,220630/2,isad:lh:127937,C 33941 / P,,,,,Nederlands,remarks
tg:lhph:23850,e8db0492-501d-5826-b05f-a30b01ea7636,Items,1,tr:lh:2742,54899/3,,V 1115 / P,,,,,Nederlands,remarks
tg:lhph:15431,25f33aa9-6348-5635-8e86-ab3bd981abb8,Items,1,tr:lh:1102,19847/2,isad:lh:93142,E 2793 / P,,,,,Nederlands,remarks
tg:lhph:43251,3d1f5b33-c922-574b-bd66-a1b1c2243427,Items,1,,219571/11,,T 262 / P,,,,,Nederlands,remarks
tg:lhph:36351,c31b9c55-5149-5eee-87dd-ba076c479b06,Items,1,tr:lh:9510,218458/1800,isad:lh:95309,B 1183 / P (NEG00195/3/5),,,,,Nederlands,remarks
tg:lhph:5122,0072c61f-a47e-57c1-a645-c540f9cd570e,Items,1,tr:lh:7586,198481/0012,isad:lh:93725,T 3465 / P,,,,,Nederlands,remarks
tg:lhph:31494,6905746e-98e0-591f-bf46-9e70c8baabc4,Items,1,tr:lh:7888,234841/c,,J 257 / P (I-IV),,,,,Nederlands,remarks
tg:lhph:50187,20dc5a36-7cbe-5f47-94c5-f9fc2fb6ee74,Items,1,tr:lh:3683,71287,,B 7168 / P,,,,,Nederlands,remarks
tg:lhph:52440,4b0717df-9d20-5c88-9d5c-432eb4453d64,Items,1,tr:lh:139964,,isad:lh:182568,,Bruikleen Vlaamse Gemeenschap - STR10959,S 935 / 485,,,Nederlands,remarks
tg:lhph:35984,366f39d0-56e5-591d-968c-451c22bd05f4,Items,1,tr:lh:180,2653,,B 4163 / P,,,,,Nederlands,remarks
tg:lhph:33153,691c3c95-ef97-5bb4-929e-4f5bae4e6e47,Items,1,tr:lh:207,3927,,K 315 / P,,,,,Nederlands,remarks
tg:lhph:18203,0353d197-58ae-5e7c-84c2-291bbcc30413,Items,1,tr:lh:7859,203626/140,isad:lh:94873,M 224 / P (NEG0005/3/7),,,,,Nederlands,remarks
tg:lhph:34696,94e2a2fb-9351-59f2-be8d-174096230876,Items,1,tr:lh:5825,122324,isad:lh:92946,B 296 / P,,,,,Nederlands,remarks
tg:lhph:8710,727fe3de-986a-5b76-afba-148e54a1f677,Items,1,tr:lh:630,12460/47,isad:lh:93100,S 1164 / P,,,,,Nederlands,remarks
tg:lhph:8710,727fe3de-986a-5b76-afba-148e54a1f677,Items,2,,233335,,S 1164 / P,,,,,Nederlands,remarks
tg:lhph:41796,0a67c389-27e8-5d05-8903-b5286a64a292,Items,1,tr:lh:1492,27571/237,,W 797 / P,,,,,Nederlands,remarks
tg:lhph:46053,b0463857-7765-5222-a78d-e2983d5fa102,Items,1,tr:lh:3327,203854/1,isad:lh:109800,C 395 / ARC (374),,,,,Nederlands,remarks
tg:lhph:20285,475aaef0-3b7b-554b-aeb7-34a0a6422e56,Items,1,tr:lh:7735,200511/10,isad:lh:94918,G 252 / P,,,,,Nederlands,remarks
tg:lhph:11921,d698d049-71f1-5d91-bd08-cd0f96903cbf,Items,1,tr:lh:7740,200997/6,isad:lh:94061,S 5621 / P,,,,,Nederlands,remarks
tg:lhph:9802,84f9cc15-9dff-5cb0-b28e-0dab6397454a,Items,1,tr:lh:3699,71555,isad:lh:93081,M 896 / P,,,,,Nederlands,remarks
tg:lhph:40884,f584b795-35ed-5d2e-b158-d2f426fd16e2,Items,1,tr:lh:6913,171050/75,isad:lh:93937,M 573 / P (III),,,,,Nederlands,remarks
tg:lhph:27540,010f9684-e844-5cf6-9433-684ce58bb7f4,Items,1,tr:lh:6989,174484/17,isad:lh:92953,V 486 / P,,,,,Nederlands,remarks
tg:lhph:11188,6c8ce45a-fc90-5baf-aee6-2803e1e152e7,Items,1,,87154/14,,T 493 / P,,,,,Nederlands,remarks
tg:lhph:14670,6462f82f-e827-5e03-8c14-7b69e0d49003,Items,1,,75290/1,,D 3507 / P,,,,,Nederlands,remarks
