brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,Source Note,Warehouse Location (begin),Serial Number,Warehouse Location (ende),Source Note Language,Source Note Type
tg:lhpr:1878,cf1b8702-206c-5778-9ee7-86dcb6a2d726,Items,1,tr:lh:1048,19122/1,isad:lh:96308,Planex KP / D 563,Achterzijde: onleesbare (franse) tekst,,,,Nederlands,Noot
tg:lhpr:2757,21843766-b45d-5219-b37b-7b0f71a872b1,Items,1,tr:lh:1202,20503,,"Planex GP / X, 1",,,,,Nederlands,Noot
tg:lhpr:10279,09e4e68a-66e5-5025-8de7-8b0ea6635ee7,Items,1,tr:lh:2432,47442/195,isad:lh:127006,D 1175 / I (Doos 3),,,,,Nederlands,Noot
tg:lhpr:12244,03f96151-eb20-526f-9109-551069f5e1a2,Items,1,tr:lh:4050,77614/1169,isad:lh:179854,,,,,,Nederlands,Noot
tg:lhpr:7105,98614cf3-d3b7-5b9e-a5ed-91a6817109a8,Items,1,tr:lh:2790,57658/1,isad:lh:96523,Planex GT / M 8006,"Edward Moreels stuurde de prent naar Marcel Stijns voor publikatie in _De
Tijdspiegel_, deze prent werd niet gepubliceerd.",,,,Nederlands,Noot
tg:lhpr:9818,8cc5999b-e71e-527f-9a7f-f9d201e79f77,Items,1,tr:lh:1217,,isad:lh:125576,D 89 / I (Map 1),,,,,Nederlands,Noot
tg:lhpr:11192,4894b5c0-0306-5d26-954a-084dc0edc75f,Items,1,tr:lh:4050,77614/130,isad:lh:174823,,,,,,Nederlands,Noot
tg:lhpr:6344,77b16c07-14a6-5687-853e-732a66974718,Items,1,tr:lh:6843,169072/21,isad:lh:96601,D 4813 / I (Doos 6),,,,,Nederlands,Noot
tg:lhpr:5991,61d5dd59-9b7b-50a9-909b-5d9f12a18eba,Items,1,tr:lh:6008,132806,isad:lh:161346,D 4813 / I (Doos 1),D 4813 / 293,,,,Nederlands,Noot
tg:lhpr:11468,fa41e76e-8761-541a-a13f-d81ead762ac0,Items,1,tr:lh:4050,77614/400,isad:lh:174824,,,,,,Nederlands,Noot
tg:lhpr:3516,a8fb39a5-2aaf-53b8-b82c-46b63cd42129,Items,1,tr:lh:7396,196025,isad:lh:96495,D 59 / I,,,,,Nederlands,Noot
tg:lhpr:11038,62b35887-b692-5c82-8485-b6772302e56e,Items,1,tr:lh:4050,77614/15,isad:lh:174823,,,,,,Nederlands,Noot
tg:lhpr:4396,9e330e38-31be-54b9-8003-e99724ec7003,Items,1,tr:lh:242,4898/1,isad:lh:96272,S 225 / I,"Illustratie van het boek """"Dirk  de Meyer, een geschiedenis van de Waterkant"""", door  Domien Sleeckx.",,,,Nederlands,Noot
tg:lhpr:11487,87c1c14e-5420-5ead-bae1-ce8abdfad136,Items,1,tr:lh:4050,77614/419,isad:lh:174825,,,,,,Nederlands,Noot
tg:lhpr:12301,88223f1d-cf32-584c-8579-461d9eb3951b,Items,1,tr:lh:4050,77614/1225,isad:lh:179873,,,,,,Nederlands,Noot
tg:lhpr:10296,7b6020e0-ecc5-5198-858b-56b57128ddea,Items,1,tr:lh:2432,47441/160,isad:lh:127006,D 1175 / I (Doos 3),,,,,Nederlands,Noot
tg:lhpr:10296,7b6020e0-ecc5-5198-858b-56b57128ddea,Items,2,tr:lh:2432,47442/226,isad:lh:127006,D 1175 / I (Doos 3),,,,,Nederlands,Noot
tg:lhpr:1897,3e03ad44-bfdc-5e91-8220-527c3b5e7c1a,Items,1,,27381/109,,Planex KP / D 7985,Artiest = J. brouwers,,,,Nederlands,Noot
tg:lhpr:11254,35093838-0f36-516a-ae52-9caae5fe1398,Items,1,tr:lh:4050,77614/189,isad:lh:174823,,,,,,Nederlands,Noot
tg:lhpr:2868,177ddc31-fc3d-507f-8483-e8d03924484e,Items,1,tr:lh:9913,147160/2,isad:lh:96449,B 76823 / I,,,,,Nederlands,Noot
tg:lhpr:3280,8c450d80-80c6-5297-b52b-81ff941aa9ac,Items,1,tr:lh:6749,167286/3,isad:lh:96333,C 3843 / I,,,,,Nederlands,Noot
tg:lhpr:11604,c5948a68-41bc-5bc9-8429-5087c1ef572a,Items,1,tr:lh:4050,77614/536,isad:lh:174825,,,,,,Nederlands,Noot
tg:lhpr:9727,894fafe1-3987-5ed7-86e4-1375447d798d,Items,1,tr:lh:1217,,isad:lh:125351,D 89 / I (Map I),,,,,Nederlands,Noot
tg:lhpr:10916,2918e1b7-37c3-56a3-b7a6-0d33dd51ba76,Items,1,,,isad:lh:164979,Planex GT / C 2435,,,,,Nederlands,Noot
tg:lhpr:12478,0b271b1b-1deb-5449-a8fb-a0d24ca8669c,Items,1,tr:lh:4050,77614/1398,isad:lh:179873,,,,,,Nederlands,Noot
tg:lhpr:10445,68f92513-4ab6-5e52-a29a-d6b930833c5c,Items,1,,,isad:lh:128179,G 21795 / I,,,,,Nederlands,Noot
tg:lhpr:2491,7defad43-ed8e-5ca9-9613-7ede8289f404,Items,1,,221299,,SC 53 E 1,,,,,Nederlands,Noot
tg:lhpr:12182,722eb93f-712c-5462-9067-25faa47eae50,Items,1,tr:lh:4050,77614/1107,isad:lh:179854,,,,,,Nederlands,Noot
tg:lhpr:8136,bcba5933-f293-571c-83b6-291b429a6229,Items,1,,52609/1,,Planex KP / BB 599,,,,,Nederlands,Noot
tg:lhpr:8136,bcba5933-f293-571c-83b6-291b429a6229,Items,2,,219723,,Planex KP / BB 599,,,,,Nederlands,Noot
tg:lhpr:12028,5a486a30-a22d-5e9b-8b24-3c1a8d72f863,Items,1,tr:lh:4050,77614/953,isad:lh:179276,,,,,,Nederlands,Noot
tg:lhpr:10015,e8af4188-e3d9-5d7b-ae87-b68e7be3be43,Items,1,tr:lh:1217,,isad:lh:125820,D 89 / I (Map 3),,,,,Nederlands,Noot
tg:lhpr:5704,1c5ab071-7ce7-58f9-bb30-b42b5bcfdea0,Items,1,,83218,,M 546 / I (Doos II),,,,,Nederlands,Noot
tg:lhpr:10500,cf1c4734-04ff-5cc2-a6b7-bed9512a59a3,Items,1,tr:lh:6603,163509,isad:lh:96499,G 605 / I,,,,,Nederlands,Noot
tg:lhpr:2184,02c18db7-2c9c-5a65-9396-82d4bd76e8ff,Items,1,,40302,,Planex KP / S 535,,,,,Nederlands,Noot
tg:lhpr:2184,02c18db7-2c9c-5a65-9396-82d4bd76e8ff,Items,2,tr:lh:2599,52229,isad:lh:96336,Planex KP / S 535,,,,,Nederlands,Noot
tg:lhpr:4953,33851b4f-1b45-522c-a297-c04667f2cb25,Items,1,tr:lh:7634,212876,,T 493 / I,,,,,Nederlands,Noot
tg:lhpr:12497,ad871a5d-19ab-5789-b431-7b475b4088fd,Items,1,tr:lh:4050,77614/1415,isad:lh:179874,,,,,,Nederlands,Noot
tg:lhpr:10150,c28d86e4-41d8-5119-bee1-f82006a4b0ed,Items,1,tr:lh:1217,,isad:lh:126061,D 89 / I (Map 6),,,,,Nederlands,Noot
tg:lhpr:8073,3bc7e821-54f4-51db-b999-b0bda37349cb,Items,1,tr:lh:6174,142565/6,isad:lh:146564,B 8596 / I,,,,,Nederlands,Noot
tg:lhpr:4400,249f1186-72c5-5f1e-9619-749685c96eb1,Items,1,tr:lh:4674,89056/19 a,isad:lh:96489,S 932 / I (Doos 1),"Lode Raskin, _Henri van Straten 1892-1944. Oeuvrecatalogus_, Pandora, 2002, p.
244.",,,,Nederlands,Noot
tg:lhpr:9232,c7676ca3-9532-5d5f-acf7-58d402fcd686,Items,1,tr:lh:7818,202190/k,isad:lh:96640,C 1483 / I (doos 1),"**Publicatie** Mussche, Achilles - Cantré, Jozef [ill.], _Aan de voet van het belfort_. Antwerpen: De Sikkel, 1950.",V1 B 75 C4,,,Nederlands,Noot
tg:lhpr:11311,f60b5d33-453c-5822-aae7-88a5cf2d4b59,Items,1,tr:lh:4050,77614/246,isad:lh:174824,,,,,,Nederlands,Noot
tg:lhpr:9662,fd129c90-de60-5ae2-9092-e728d0b6abdd,Items,1,tr:lh:1217,,isad:lh:125177,D 89 / I (Map I),,,,,Nederlands,Noot
tg:lhpr:11741,a9ff7344-4c74-5e0c-86ba-fa5f7e739f64,Items,1,tr:lh:4050,77614/673,isad:lh:174826,,,,,,Nederlands,Noot
tg:lhpr:6702,3ac70ad5-1141-5e03-b59b-17f394a56028,Items,1,tr:lh:1299,22028/6c,isad:lh:96340,Planex GT / D 8756,"**Publicatie** Lauwerys, Jozef, _Gids voor Hoogstraten_. Hoogstraten: s.n., 1935 (1ste uitg. 1931), p. 15. Eén van drie proefdrukken (6a-6c) naast elkaar gedrukt op een langwerpig stuk papier.",,,,Nederlands,Noot
tg:lhpr:5987,b55e81d6-18ff-51db-a839-8c6facf98488,Items,1,tr:lh:6008,132773,isad:lh:167733,D 4813 / I (Doos 1),D 4813 / 199,,,,Nederlands,Noot
tg:lhpr:1497,2b833bc9-59db-5785-ae6c-0fe41c7a1c81,Items,1,tr:lh:5492,120445,,Planex KP / B 435,Artiest: R. Courteny,,,,Nederlands,Noot
tg:lhpr:11184,3cea917d-931d-5b6e-8ae9-1c258de9f3d6,Items,1,tr:lh:4050,77614/122,isad:lh:174823,,,,,,Nederlands,Noot
tg:lhpr:12252,546b07b3-5c8b-5439-9efc-c50d2ddeeda4,Items,1,tr:lh:4050,77614/1176,isad:lh:179854,,,,,,Nederlands,Noot
tg:lhpr:2741,77130146-fd38-5f78-b70c-c9097630c6fa,Items,1,tr:lh:1202,20511/1,,Planex GP / P 346,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,,,,Nederlands,Noot
tg:lhpr:2741,77130146-fd38-5f78-b70c-c9097630c6fa,Items,2,tr:lh:1279,21871,,Planex GP / P 346,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,,,,Nederlands,Noot
tg:lhpr:2741,77130146-fd38-5f78-b70c-c9097630c6fa,Items,3,,50338/1-2,,Planex GP / P 346,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,,,,Nederlands,Noot
tg:lhpr:2741,77130146-fd38-5f78-b70c-c9097630c6fa,Items,4,,54787,,Planex GP / P 346,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,,,,Nederlands,Noot
tg:lhpr:10795,7187a43a-f4a9-52a4-a73e-48dc0c96824a,Items,1,,,,"Planex GT / VI,5",,,,,Nederlands,Noot
tg:lhpr:11887,111e81e4-24b9-5d52-8147-0e606c44b98d,Items,1,tr:lh:4050,77614/813,isad:lh:179276,,,,,,Nederlands,Noot
tg:lhpr:10280,bd977979-f02d-554b-8204-e2a5e2154e22,Items,1,tr:lh:2432,47442/200,isad:lh:127006,D 1175 / I (Doos 3),,,,,Nederlands,Noot
tg:lhpr:8659,ee63e661-8e7a-5f96-85e8-fd239a553512,Items,1,tr:lh:2212,43537/1,,Planex GT / S 837,,,,,Nederlands,Noot
tg:lhpr:11868,babe4006-a0d9-51d3-a0a8-572b0d62b1fd,Items,1,tr:lh:4050,77614/797,isad:lh:174826,,,,,,Nederlands,Noot
tg:lhpr:8209,43791ff3-16c1-5ebd-91ae-e8509294363c,Items,1,tr:lh:3490,68847/9,isad:lh:96654,Planex GT / P 272639 (doos 3),,,,,Nederlands,Noot
tg:lhpr:12317,4cb5b3c9-a126-5a30-9670-d09084e0f2eb,Items,1,tr:lh:4050,77614/1241,isad:lh:179873,,,,,,Nederlands,Noot
tg:lhpr:2604,96329709-d9c7-57a5-a07a-6bcc8f23ff8e,Items,1,,106699/1,,Planex GP / F 301,,,,,Nederlands,Noot
tg:lhpr:11491,dc3aac7a-3c4f-5e59-8ab2-c462f7d566cb,Items,1,tr:lh:4050,77614/423,isad:lh:174825,,,,,,Nederlands,Noot
tg:lhpr:10003,791c7234-5ed2-581d-9bc2-6e5cfde872df,Items,1,tr:lh:1217,,isad:lh:125819,D 89 / I (Map 5),,,,,Nederlands,Noot
tg:lhpr:12194,90e3b46a-67e0-544c-8cfa-1b0aafae80dd,Items,1,tr:lh:4050,77614/1119,isad:lh:179854,,,,,,Nederlands,Noot
tg:lhpr:2487,0fb586e4-3e18-5f76-9ee5-433b2df17723,Items,1,,105628,,SC 53 E 1,,,,,Nederlands,Noot
tg:lhpr:10453,3bdbb1e9-632b-58a6-b9ef-58d90a8dfa24,Items,1,,,isad:lh:128179,G 21795 / I,,,,,Nederlands,Noot
tg:lhpr:10900,0b8541c5-16ec-5cb2-a94f-e950b0d6fcbc,Items,1,,,isad:lh:164979,Planex GT / SS 250,,,,,Nederlands,Noot
tg:lhpr:11612,36bd79cd-b264-5200-b312-531bd532ed8e,Items,1,tr:lh:4050,77614/544,isad:lh:174825,,,,,,Nederlands,Noot
tg:lhpr:9731,1647351a-d547-5e04-91e0-2fe120f74442,Items,1,tr:lh:1217,,isad:lh:125352,D 89 / I (Map I),,,,,Nederlands,Noot
tg:lhpr:3296,accd5cb8-72fa-5356-9573-8d93e9158bd0,Items,1,tr:lh:2677,53007/2,isad:lh:96471,Planex GP / H 5252 (doos 1),De prent is de druk naar een tekening van A. Herckenrath.,,,,Nederlands,Noot
tg:lhpr:1751,03e5d8d9-7647-52f0-befa-e7f41e992561,Items,1,tr:lh:2868,57324/7,isad:lh:96302,Planex KP / C 34,,,,,Nederlands,Noot
tg:lhpr:11242,cd481fad-5b41-5825-8be7-cf34971d65f5,Items,1,tr:lh:4050,77614/180,isad:lh:174823,,,,,,Nederlands,Noot
tg:lhpr:3279,0b47a514-ae89-5881-a647-a2bff1209e0b,Items,1,,107845,isad:lh:96333,C 3843 / I,,,,,Nederlands,Noot
tg:lhpr:3279,0b47a514-ae89-5881-a647-a2bff1209e0b,Items,2,tr:lh:6749,167286/1,isad:lh:96333,C 3843 / I,,,,,Nederlands,Noot
tg:lhpr:9674,8b607c2a-c497-5b3c-a559-a88d49487a3b,Items,1,tr:lh:1217,,isad:lh:125180,D 89 / I (Map I),,,,,Nederlands,Noot
tg:lhpr:11757,8a414963-4417-507a-ba1e-3721a4e40658,Items,1,tr:lh:4050,77614/688,isad:lh:174826,,,,,,Nederlands,Noot
tg:lhpr:11307,9d0c1dba-9027-5027-9617-e0c0be2f3e68,Items,1,tr:lh:4050,77614/242,isad:lh:174824,,,,,,Nederlands,Noot
tg:lhpr:4416,e6612fcc-30e2-5af2-acf6-3eb9ac5c36d4,Items,1,tr:lh:4212,81362/2,isad:lh:96555,S 5033 / I,"Originele afdruk van een illustratie, verschenen in: Hugo van Walden, _De
Magiek_, Antwerpen, Lumière, 1931, p. 24",,,,Nederlands,Noot
tg:lhpr:10146,c5197686-4212-5532-8e02-4cf697cf21ae,Items,1,tr:lh:1217,,isad:lh:126059,D 89 / I (Map 6),,,,,Nederlands,Noot
tg:lhpr:12481,fb0d7464-9245-5ec5-8734-bf0aef2ab900,Items,1,tr:lh:140362,,,Planex GP / P 272639,,,,,Nederlands,Noot
tg:lhpr:10516,d7e46df6-e789-5f93-b4b8-5a313b8d3e1c,Items,1,tr:lh:6603,163475/2,isad:lh:96499,G 605 / I,,,,,Nederlands,Noot
tg:lhpr:8435,8217d953-44b9-56d6-9c22-620ffd3915e9,Items,1,,199413,,Planex GT / S 9995,,,,,Nederlands,Noot
tg:lhpr:12205,c0202192-9819-5332-841a-d9edfbff676f,Items,1,tr:lh:4050,77614/1130,isad:lh:179854,,,,,,Nederlands,Noot
tg:lhpr:10238,dfcf13ab-0349-583b-9a0c-ecc0b02e15b2,Items,1,tr:lh:2432,,isad:lh:126957,D 1175 / I (Doos 1),,,,,Nederlands,Noot
tg:lhpr:3804,1ad50911-a42a-5847-9f70-9d90a3d9915f,Items,1,,103208/4,,J 25803 / I,,,,,Nederlands,Noot
tg:lhpr:10392,c2bbe54d-1c08-56b3-a45d-1c9b7f56772b,Items,1,tr:lh:110510,,isad:lh:128951,,"Kopergravure gemaakt naar aanleiding van 50 jaar Gemeenschapsonderwijs, dossier briefwisseling Literaire avond Koninklijk Atheneum Merskem, 10/03/2002  
Bevindt zich in archief Fernand Auwera / Briefwisseling Chronologisch / 2002.",,,,Nederlands,Noot
tg:lhpr:10668,d0fdba13-1a76-5c93-beb9-5811ea238e46,Items,1,,,isad:lh:144015,,,,S 935 / 464,,Nederlands,Noot
tg:lhpr:9859,d1bf531a-58cf-51d5-b2cf-61ab017650de,Items,1,tr:lh:1217,,isad:lh:125654,D 89 / I (Map 2),,,,,Nederlands,Noot
tg:lhpr:4338,6b988fff-b61a-5266-af61-ff46ae9c1dd0,Items,1,tr:lh:2213,43155/6,isad:lh:96252,S 932 / I (Doos 1),"Lode Raskin, _Henri van Straten 1892-1944. Oeuvrecatalogus_, Pandora, 2002, p.
159 Gepubliceerd door Uitgeverij De Sikkel, Antwerpen - C. A. Mees, Santpoort,
1922.",,,,Nederlands,Noot
tg:lhpr:11429,a93ba31d-10f9-5269-acab-76a1982512d3,Items,1,tr:lh:4050,77614/361,isad:lh:174824,,,,,,Nederlands,Noot
tg:lhpr:6755,c0e8731e-93da-520b-9749-bc07649b405c,Items,1,tr:lh:5716,115879/17,isad:lh:96614,Planex GT / G 1169,,,,,Nederlands,Noot
tg:lhpr:11583,338bd5fc-fb1f-5a70-908e-3cbdd89fbcea,Items,1,tr:lh:4050,77614/515,isad:lh:174825,,,,,,Nederlands,Noot
tg:lhpr:11079,d0275859-e764-570e-a694-ca34b850d67c,Items,1,tr:lh:4050,77614/55,isad:lh:174823,,,,,,Nederlands,Noot
tg:lhpr:4292,3563281f-1a79-55e2-81b8-50b8d9371d13,Items,1,,36408/4,isad:lh:96535,R 1627 / I,"**Publicatie** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine roman met één personage en zeven instrumenten zijnde een volledige slagwerk batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 35. Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op Hollands papier.",,,,Nederlands,Noot
tg:lhpr:4292,3563281f-1a79-55e2-81b8-50b8d9371d13,Items,2,tr:lh:4053,77778/4,isad:lh:96535,R 1627 / I,"**Publikatie:** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine
roman met één personage en zeven instrumenten zijnde een volledige slagwerk
batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 35.

Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op
Hollands papier.",,,,Nederlands,Noot
tg:lhpr:1585,42055d32-7ecb-5acc-a823-84bdbfca04d8,Items,1,tr:lh:1202,20519,isad:lh:96287,Planex KP / B 745,"1) Bijvoegsel van ONS LEVEN, nr. 7; 1925",,,,Nederlands,Noot
tg:lhpr:1585,42055d32-7ecb-5acc-a823-84bdbfca04d8,Items,2,tr:lh:5764,118528,isad:lh:96287,Planex KP / B 745,"1) Bijvoegsel van ONS LEVEN, nr. 7; 1925",,,,Nederlands,Noot
tg:lhpr:12340,e29851cd-915a-558c-818f-bc78035d4635,Items,1,tr:lh:4050,77614/1264,isad:lh:179873,,,,,,Nederlands,Noot
tg:lhpr:7451,9dc38d19-1f42-5e14-b27d-3ffe3b9427e0,Items,1,tr:lh:2790,57660/2a,,C 1483 / I,"Op achterzijde de tekst: _'De kom der loutering / odschoon kleine fontein
waarrond de magere minnaars dwaalde en ondiepe bekken waarin de ebbe - en -
vloed van koorts bewoog / draag ik / genezen / in groote vereering op aan
Karel van de Woestijne en Herman Teirlinck, mijn geliefde meesters'.",,,,Nederlands,Noot
tg:lhpr:11995,df37007a-38af-52c5-9fa8-b14d253f95bd,Items,1,tr:lh:4050,77614/921,isad:lh:179276,,,,,,Nederlands,Noot
tg:lhpr:11215,8cf07860-402d-5d06-b5bc-49c3c2499a69,Items,1,tr:lh:4050,77614/153,isad:lh:174823,,,,,,Nederlands,Noot
tg:lhpr:4504,e1da1c4f-8b8a-57c8-bdec-f0a10585e914,Items,1,,52998,,S 595 / I,,,,,Nederlands,Noot
tg:lhpr:6493,2a7d4f17-237d-5970-90a5-e9c2f3eb2bc8,Items,1,tr:lh:7596,198561/20,,Planex GP / BB 590 (map 2),"**Publikatie: **Claes, Ernest, _De Witte_. Amsterdam: Wereldbibliotheek, 1964,
ill., p. 122.",,,,Nederlands,Noot
tg:lhpr:10957,0f6204c7-82d3-5dd1-a859-883f5ea37774,Items,1,tr:lh:140353,43785/9,isad:lh:174830,,,,,,Nederlands,Noot
tg:lhpr:9766,abec2354-e0aa-5981-bc12-3f7b8be3b35e,Items,1,tr:lh:1217,,isad:lh:125371,D 89 / I (Map I),,,,,Nederlands,Noot
tg:lhpr:11645,c2e31ced-9fcd-5e2b-9891-0537737ab1e4,Items,1,tr:lh:4050,77614/577,isad:lh:174825,,,,,,Nederlands,Noot
tg:lhpr:3691,6e26cb58-3e2d-52c0-bcb5-7d0ebbbe09f0,Items,1,tr:lh:6203,143762,isad:lh:96506,H 67463 / I,,,,,Nederlands,Noot
tg:lhpr:4154,f952398b-3d87-5786-a187-19a802fee607,Items,1,tr:lh:1173,20273/5,isad:lh:96267,Planex GT / O 1622,,,,,Nederlands,Noot
tg:lhpr:10404,16ff913b-a63c-591d-ade4-9702883aaa56,Items,1,,,isad:lh:128179,G 21795 / I (Doos 1),,,,,Nederlands,Noot
tg:lhpr:12439,0f416520-84e7-5c8c-942a-18aab56e9414,Items,1,tr:lh:4050,77614/1360,isad:lh:179873,,,,,,Nederlands,Noot
tg:lhpr:5315,12e3f8a3-9b91-511a-bce3-9ce2ceb6fe20,Items,1,tr:lh:1188,20462,isad:lh:96471,Planex GP / H 5252,,,,,Nederlands,Noot
tg:lhpr:10054,102b767d-b500-566e-86b4-a01f1ff07615,Items,1,tr:lh:1217,,isad:lh:125820,D 89 / I (Map 3),,,,,Nederlands,Noot
tg:lhpr:12069,b7efb7ab-4783-5b72-9411-8d245bf9a2af,Items,1,tr:lh:4050,77614/994,isad:lh:179276,,,,,,Nederlands,Noot
tg:lhpr:12086,a274deb7-61b1-53c0-994d-ed9ff04c8f2f,Items,1,tr:lh:4050,77614/1011,isad:lh:179854,,,,,,Nederlands,Noot
tg:lhpr:8198,2500befb-a449-575b-9115-6ceef0cd856d,Items,1,tr:lh:3490,68847/3,isad:lh:96654,Planex GT / P 272639 (doos 3),,,,,Nederlands,Noot
tg:lhpr:10541,71f7846e-55fb-524f-81ca-575a0e7b0789,Items,1,tr:lh:6603,163487/2,isad:lh:96499,Planex GT / G 395,,V1 A 75 A5,,,Nederlands,Noot
tg:lhpr:10111,9bc31d8c-6185-553a-8aac-2aca2f5ee6de,Items,1,tr:lh:1217,,isad:lh:125861,D 89 / I (Map 5),,,,,Nederlands,Noot
tg:lhpr:9789,68fd64cd-4709-5e55-989b-993d1775abf0,Items,1,tr:lh:1217,,isad:lh:125511,D 89 / I (Map I),,,,,Nederlands,Noot
tg:lhpr:11350,a017318d-11ec-5b4f-a6d2-2a07a2cba6c8,Items,1,tr:lh:4050,77614/285,isad:lh:174824,,,,,,Nederlands,Noot
tg:lhpr:10812,ae3e5f11-be11-5230-a221-43841dfdbd17,Items,1,,,,S 932 / SC,,,,,Nederlands,Noot
tg:lhpr:11700,51867cdb-e2b2-554e-a2dc-a377fd8197cd,Items,1,tr:lh:4050,77614/632,isad:lh:174826,,,,,,Nederlands,Noot
tg:lhpr:9623,748f2ac4-6de8-5910-ba74-4a9416851899,Items,1,tr:lh:103964,,isad:lh:123823,J 3354 / I (Floris Jespers Etsen II),,,,,Nederlands,Noot
tg:lhpr:11517,5963337f-2d7c-5d2c-98d9-2be514edbee1,Items,1,tr:lh:4050,77614/449,isad:lh:174825,,,,,,Nederlands,Noot
tg:lhpr:9434,b53c0aa6-9792-5d2a-9e54-8084a94b2a50,Items,1,,,isad:lh:120507,,,,CC 174 / 7,,Nederlands,Noot
tg:lhpr:6391,5a4f6353-1aad-5913-8c29-66b7af72efe6,Items,1,,199621/1,,Planex GT / B 8966,,,,,Nederlands,Noot
tg:lhpr:11147,a6eae620-7d60-5afb-9cab-b77815000c98,Items,1,tr:lh:4050,77614/85,isad:lh:174823,,,,,,Nederlands,Noot
tg:lhpr:2628,62fe219b-fe01-596f-ab52-afc76f2deb6e,Items,1,,186356,,"Planex GP / IX, 5",,,,,Nederlands,Noot
tg:lhpr:10306,c3901f84-71ef-5dfc-bd8a-4fa4f0c347c6,Items,1,tr:lh:2432,,isad:lh:127006,D 1175 / I (Doos 3),,,,,Nederlands,Noot
tg:lhpr:10756,0d194c8c-331f-5a1c-a301-1f837bf164fd,Items,1,tr:lh:7337,195175/17,,"O 393 / I (Planex GT/ VI,2)",,,,,Nederlands,Noot
tg:lhpr:11844,8d7b397f-aeba-52e5-b04a-24f74ccd9ca2,Items,1,tr:lh:4050,77614/773,isad:lh:174826,,,,,,Nederlands,Noot
tg:lhpr:9967,3c909b50-ceaa-5709-93a2-62a4b2357824,Items,1,tr:lh:1217,,isad:lh:125810,D 89 / I (Map 4),,,,,Nederlands,Noot
tg:lhpr:12291,43ad4e72-352f-5b71-873e-33bdb2de537d,Items,1,tr:lh:4050,77614/1215,isad:lh:179873,,,,,,Nederlands,Noot
tg:lhpr:2782,b042ab55-32e0-5b29-aad2-9f36f8419df0,Items,1,tr:lh:5362,105332/2,isad:lh:96445,A 18647 / I,"Gepubliceerd in: Karel van de Woestijne;_ """"Romeo, of: De minnaar der liefde""""_
Amsterdam, Wereldbibliotheek, 1941, pag. 32",,,,Nederlands,Noot
tg:lhpr:9988,1a9ca4b4-98dd-55ca-8624-73096338face,Items,1,tr:lh:1217,,isad:lh:125817,D 89 / I (Map 5),,,,,Nederlands,Noot
tg:lhpr:2297,a46d18f7-1cb1-5f4d-9c60-34b55d318d97,Items,1,,121986,,Planex KP / M 5465,Artiest = Jan Wiericx,,,,Nederlands,Noot
tg:lhpr:7095,668ae10b-a659-5e3f-b61b-68a4be0f2f8c,Items,1,,108322,,Planex GT / M 2562,Reproductie van de houtgravure uitgegeven door de _Kunstkring van Waasmunster_,,,,Nederlands,Noot
tg:lhpr:10243,ff1fd8ae-52e7-5284-8fcb-31a2162a7f1c,Items,1,tr:lh:2432,47442/172,isad:lh:127004,D 1175 / I (Doos 3),,,,,Nederlands,Noot
tg:lhpr:9822,5a9fa400-6c2c-58b2-b9b5-6ca671b44ef3,Items,1,tr:lh:1217,,isad:lh:125579,D 89 / I (Map 1),,,,,Nederlands,Noot
tg:lhpr:11901,32ee6994-3057-522c-8bc3-b40f76922172,Items,1,tr:lh:4050,77614/827,isad:lh:179276,,,,,,Nederlands,Noot
tg:lhpr:3486,e66f319e-528d-5f45-8ed4-6e6679e8879b,Items,1,tr:lh:4674,89056/30,isad:lh:96489,E 285 / I,,,,,Nederlands,Noot
tg:lhpr:6684,3efe2680-ef7f-53c9-80a3-d3e7aea97e64,Items,1,tr:lh:1299,22028/2d,isad:lh:96340,Planex GT / D 8756,"**Publicatie** Lauwerys, Jozef, _Gids voor Hoogstraten_. Hoogstraten: s.n., 1935 (1ste uitg. 1931), p. 31. Eén van vijf proefdrukken (2a-2e) naast elkaar gedrukt op een langwerpig stuk papier.",,,,Nederlands,Noot
tg:lhpr:9571,b1b858f3-a34e-5809-a2c2-80bf158c9eef,Items,1,tr:lh:103964,,isad:lh:123717,J 3354 / I (Floris Jespers Etsen I),,,,,Nederlands,Noot
tg:lhpr:11452,7431573d-9d55-5825-ac38-4ccb0cb35689,Items,1,tr:lh:4050,77614/384,isad:lh:174824,,,,,,Nederlands,Noot
tg:lhpr:1511,d0d47b6a-004a-58b1-a9de-b96b0d96d0ba,Items,1,tr:lh:2392,45278/6,,Planex KP / B 517,,,,,Nederlands,Noot
tg:lhpr:11002,310dcb0d-3b58-59f3-9eae-ede3247cc417,Items,1,tr:lh:140353,43787/10,isad:lh:174833,,,,,,Nederlands,Noot
