brocade.id,ResourceID,card,order,Acquisition Note,Location Number,Registration Number value,Archive Note,adm.note,Serial Number,adm.note.language,adm.note.type
tg:lhps:12462,fd54de07-a634-5fd3-ade2-796c006e1bdf,Items,1,tr:lh:7634,B 55115 / A,213004,,,,Nederlands,remarks
tg:lhps:44202,cdce38c6-4729-568b-b036-1053d8790357,Items,1,,F 131 / A,225286/339,,,,Nederlands,remarks
tg:lhps:25711,67c5caa3-6623-5fd8-82f5-52afb872c5a0,Items,1,,M 9687 / A,225255/476,,,,Nederlands,remarks
tg:lhps:58221,5f2b6fe6-a547-5aa2-8648-5b90b923fad9,Items,1,,M 51 / A,,,,,Nederlands,remarks
tg:lhps:50611,abeaeabf-fb43-5b0f-a6a1-8a43a635f396,Items,1,tr:lh:9943,G 21795 / A,,isad:lh:114487,,,Nederlands,remarks
tg:lhps:31302,d9f99fae-af95-55d9-831e-355c9420045a,Items,1,,T 1038 / A,225269/86,,,,Nederlands,remarks
tg:lhps:7689,a0555d05-ebf9-5757-88de-37f52b8a7393,Items,1,tr:lh:7019,T 3465 / A,183055,,,,Nederlands,remarks
tg:lhps:51903,883ba8ec-f72f-5bc8-bafc-c1c27915869b,Items,1,tr:lh:110437,MM 70 / A,,,,,Nederlands,remarks
tg:lhps:2171,80adce03-dd4a-58b9-893b-46de6243c897,Items,1,,E 4152 / A,168019/33,,,,Nederlands,remarks
tg:lhps:2171,80adce03-dd4a-58b9-893b-46de6243c897,Items,2,tr:lh:7019,E 4152 / A,181603,,,,Nederlands,remarks
tg:lhps:62760,fe43994a-ac46-5e7d-8969-fc502385029a,Items,1,tr:lh:140424,T 376 / A,,,,,Nederlands,remarks
tg:lhps:34100,97a27176-8f9f-5728-824f-edb45d55eee7,Items,1,,AV.38.5.10.278,225272/2135,isad:lh:92750,,,Nederlands,remarks
tg:lhps:49430,aec94618-df51-5197-bb02-a55819cfc8b6,Items,1,tr:lh:104035,GG 138 / A,,,,,Nederlands,remarks
tg:lhps:18595,7fe2aa68-a6cf-5a90-9208-e7bb3e63ad52,Items,1,,C 34776 / A,215036/40,,,,Nederlands,remarks
tg:lhps:7373,c73a2f41-044d-55f8-96de-f3ba93ed9edb,Items,1,,T 161203 / A,239753,,,,Nederlands,remarks
tg:lhps:7373,c73a2f41-044d-55f8-96de-f3ba93ed9edb,Items,2,tr:lh:140322,B 9175 / A,,isad:lh:92242,,,Nederlands,remarks
tg:lhps:55413,ab4a8c4e-37cb-5d0d-a722-7a37d9ddabf3,Items,1,,V 340945 / A,225299/203,,,,Nederlands,remarks
tg:lhps:28123,e59a2076-c55c-5d46-a6b4-ee87edd563f2,Items,1,,O 3642 / A,225260/47,,,,Nederlands,remarks
tg:lhps:16972,69c490ec-6b1a-5d3a-a59c-681adaafcab1,Items,1,,JJ 100 / A,216751/26,,,,Nederlands,remarks
tg:lhps:20513,50b9c797-7e6d-5b2e-af0f-bfd99028f3f9,Items,1,,G 3145 / I,215072/20,,,,Nederlands,remarks
tg:lhps:17660,09fbdcc6-060e-509a-8ae7-528c23ed366d,Items,1,,A 1811 / A,217301,,,,Nederlands,remarks
tg:lhps:41000,7af43193-fcc9-570b-b9c9-a5f80ec2483e,Items,1,,VV 143 / A,225273/252,,,,Nederlands,remarks
tg:lhps:8086,d4915754-ed3b-5695-b829-0eb5f827b6b5,Items,1,tr:lh:7019,T 3645 / A,180266,,,,Nederlands,remarks
tg:lhps:58671,b30829bd-245c-5b4e-9787-e0e394df2ec7,Items,1,,F 221 / A,,isad:lh:137935,Uit F 221 / 20,,Nederlands,remarks
tg:lhps:25341,60ac1aad-7455-5cca-b48a-b3ec7337cb48,Items,1,tr:lh:7875,O 3369 / A (CM1980),225212/2977,isad:lh:92200,,,Nederlands,remarks
tg:lhps:43197,4ac2f66a-60d8-5261-b85a-9fb1401b719d,Items,1,,H 1457 / A,225283/2,isad:lh:92924,,,Nederlands,remarks
tg:lhps:59963,87018d3b-2417-5f46-b72c-515929b08165,Items,1,tr:lh:110342,MM 45 / A,,,,,Nederlands,remarks
tg:lhps:44652,ddb87147-944f-5715-9f22-baf0e60e2c87,Items,1,,G 283 / A,225289/35,,,,Nederlands,remarks
tg:lhps:12032,dd76bb39-48e2-589e-8c2b-a71926e03a82,Items,1,tr:lh:7755,A 357 / A,200877/17,isad:lh:92200,,,Nederlands,remarks
tg:lhps:12032,dd76bb39-48e2-589e-8c2b-a71926e03a82,Items,2,tr:lh:7755,W 122 / A,200877/17,isad:lh:92200,,,Nederlands,remarks
tg:lhps:31752,d0259776-bb51-5d07-a5c4-a2dedb002c48,Items,1,,T 37657 / A,225269/422,,,,Nederlands,remarks
tg:lhps:36097,0268b3c8-0709-5c35-84f8-f7e156d66aa8,Items,1,,AV.93.9.564,225272/3038,isad:lh:92875,,,Nederlands,remarks
tg:lhps:2521,84eccf0b-2ed4-531f-8681-9af51e591bc3,Items,1,,F 245 / A,238470,,,,Nederlands,remarks
tg:lhps:50241,2643b20c-700c-5cb5-a56d-e8bed2bd7e62,Items,1,,NN 1 / A,,isad:lh:107809,,,Nederlands,remarks
tg:lhps:28089,16a53fde-dd9b-5801-b827-fbb9865f3668,Items,1,,O 359 / A,225260/21,,,,Nederlands,remarks
tg:lhps:30840,a14fc367-8a17-5b3a-9697-17c283c6a719,Items,1,,S 7358 / A,225263/762,,,,Nederlands,remarks
tg:lhps:57584,06c2f83a-a2df-5aa2-b5e8-226e0f65fd16,Items,1,,F 221 / A,,isad:lh:136069,Uit F 221 / 9,,Nederlands,remarks
tg:lhps:28573,1b542442-42c6-57b3-9237-a0518d10dcea,Items,1,,O 4389 / A,225260/294,,,,Nederlands,remarks
tg:lhps:55043,60c5404a-5b5b-5ef7-986b-43f4234076da,Items,1,tr:lh:110342,NN 7 /A,,,,,Nederlands,remarks
tg:lhps:6831,edb7da3c-bd10-59e2-b9ad-9aa6a8e141cf,Items,1,tr:lh:7019,R 725 / A,181910,,,,Nederlands,remarks
tg:lhps:52786,468da558-016a-5139-bad6-3f2a0e0e008b,Items,1,,TT 109 / A,,,,,Nederlands,remarks
tg:lhps:49060,0e496aa4-d2fc-50a3-9adc-c305fc14b8d1,Items,1,,O 3945 / A,225293/345,,,,Nederlands,remarks
tg:lhps:62330,39d8fc02-39eb-558a-858a-64ae10a96984,Items,1,tr:lh:140382,T 376 / A,,,,,Nederlands,remarks
tg:lhps:53894,8a1908c0-a434-5672-95b7-0b12d05dfddc,Items,1,tr:lh:110342,LL 3 / A,225298/146,,,,Nederlands,remarks
tg:lhps:7723,2b034205-e461-52e9-b1c2-8f5b5f8f918b,Items,1,tr:lh:7019,T 3465 / A,183047,,,,Nederlands,remarks
tg:lhps:46395,95545d58-f8da-5cc7-b1ae-ce69e03375f0,Items,1,tr:lh:30822,PP 210 / A (CA 790),300042/64,isad:lh:98631,,,Nederlands,remarks
tg:lhps:26994,b5d0157d-fb2a-55bd-8c29-1eeaccd59115,Items,1,tr:lh:7875,O 3369 / A (CM2921),225212/3919,isad:lh:92200,,,Nederlands,remarks
tg:lhps:41450,e1e623a9-9760-5947-832b-9f7205ea4e45,Items,1,tr:lh:7875,A 1811 / A,225212/429,isad:lh:92200,,,Nederlands,remarks
tg:lhps:17230,3b2633b8-29ed-5c02-98d7-9ce73b255d8c,Items,1,,L 108 / A,236929,,,,Nederlands,remarks
tg:lhps:27686,c05494c3-2a51-527e-be57-a23b7a190509,Items,1,tr:lh:7875,O 3369 / A (CM 3604),225212/4602,isad:lh:92200,,,Nederlands,remarks
tg:lhps:20143,77d0635b-87c2-5768-bb7b-185fd66be842,Items,1,,F 245 / A,215062/1,,,,Nederlands,remarks
tg:lhps:33780,166e9c77-74a5-51f3-aae6-31fb562fd4c7,Items,1,,AV.19.28.74,225272/2050,isad:lh:92874,,,Nederlands,remarks
tg:lhps:60618,7cd325eb-e065-5f16-8abf-1fa1c4001b88,Items,1,,O 33745 / A,,,,,Nederlands,remarks
tg:lhps:7236,79762fb2-e6a9-561f-b4ed-8a16b1cbf90c,Items,1,tr:lh:7019,S 935 / A,183008/1,,,,Nederlands,remarks
tg:lhps:49575,7e738b1e-1db1-5c44-9524-e2b20f34ecdf,Items,1,,P 7817 / A,225293/511,,,,Nederlands,remarks
tg:lhps:34045,e3e83710-3a8e-59c7-8546-26efc35327db,Items,1,,AV.38.5.10.236,225272/2293,isad:lh:92750,,,Nederlands,remarks
tg:lhps:62625,ef1cb82f-2a6c-5927-9883-e1843a540554,Items,1,tr:lh:140424,T 376 / A,,,,,Nederlands,remarks
tg:lhps:52293,b95f0611-4b93-5818-895f-c6622809818b,Items,1,tr:lh:110342,VV 125 / A,,,,,Nederlands,remarks
tg:lhps:28066,9a635dc3-fff6-5772-b019-2fed5c11098d,Items,1,,O 352 / A,225260/1,,,,Nederlands,remarks
tg:lhps:55556,a7a76bfb-35d9-5f23-aef2-6f5e56781162,Items,1,,V 3779 / A,225299/233,,,,Nederlands,remarks
tg:lhps:20456,c00bb92b-a79d-50cf-a07e-9ecd8ed4f159,Items,1,,G 2704 / A,215070/22,,,,Nederlands,remarks
tg:lhps:47992,39df32a3-8f63-59c0-8ac9-20fa39078c09,Items,1,tr:lh:97971,S 2143 / A,,isad:lh:103959,,,Nederlands,remarks
tg:lhps:16837,24590ccd-ed49-552d-9861-c42337433a5b,Items,1,,B 92996 / A,216646,,,,Nederlands,remarks
tg:lhps:27393,7ec8b87f-b8a2-5ae0-8dff-d3d295302000,Items,1,tr:lh:7875,O 3369 / A (CM 3312),225212/4310,isad:lh:92200,,,Nederlands,remarks
tg:lhps:41145,ddc4dcdd-76a2-5d36-a582-1fff0376db8d,Items,1,,W 2545 / A,225273/389,,,,Nederlands,remarks
tg:lhps:17725,4f204af0-4aee-5fee-a7bc-f431abd850a9,Items,1,,C 203885 / A,217372/1,,,,Nederlands,remarks
tg:lhps:46680,e324e1ea-ca5b-59fe-90ff-ff14b7f816c4,Items,1,tr:lh:97952,S 626525 / A,,isad:lh:103148,,,Nederlands,remarks
tg:lhps:43178,790b9158-9321-5ca2-9f73-4ede6d5ffca0,Items,1,,CC 12 / A,225281/255,,,,Nederlands,remarks
tg:lhps:15718,975ac3b5-2bef-5ec1-bc38-191a830f2d5a,Items,1,tr:lh:7634,A 2409 / A,212494/1,,,,Nederlands,remarks
tg:lhps:8439,3aa13326-b93a-5a2b-b624-9e27a018e695,Items,1,tr:lh:7019,W 7977 / A,182690,,,,Nederlands,remarks
tg:lhps:44347,4606ab2f-6aaa-57e1-a859-00385c061bda,Items,1,,AV.91.6.98,225272/2510,isad:lh:92220,,,Nederlands,remarks
tg:lhps:12527,c543502e-185f-566e-a1d5-47dc9031a97a,Items,1,tr:lh:7634,B 55115 / A,213081,,,,Nederlands,remarks
tg:lhps:12527,c543502e-185f-566e-a1d5-47dc9031a97a,Items,2,tr:lh:7634,T 1966875 / A,213081,,,,Nederlands,remarks
tg:lhps:24946,43d12054-ccc1-579a-b12f-2921f53d69a0,Items,1,tr:lh:7875,O 3369 / A (CM1728),225212/2725,isad:lh:92200,,,Nederlands,remarks
tg:lhps:43482,f030da17-f94d-5887-be20-2fcfc68b0031,Items,1,,D 3509 / A,225284/161,,,,Nederlands,remarks
tg:lhps:58364,61470487-9bc9-5a01-9bed-b7f8423fa6ed,Items,1,tr:lh:139765,BB 414 / A,,isad:lh:140015,,,Nederlands,remarks
tg:lhps:25654,f64619e5-f20b-58bf-8761-f97ca2e9897e,Items,1,,M 96796 / A,225255/427,,,,Nederlands,remarks
tg:lhps:22191,099642cd-a6b2-5db4-a7f7-c7b6170f6157,Items,1,tr:lh:7875,O 3369 / A (CM 84),225212/1079,isad:lh:92200,,,Nederlands,remarks
tg:lhps:27669,638f0fed-be84-578d-bb9f-1c606f8f4488,Items,1,tr:lh:7875,O 3369 / A (CM 3587),225212/4585,isad:lh:92200,,,Nederlands,remarks
tg:lhps:57091,db8d41ff-af85-5a22-99a3-515b37e6ae6b,Items,1,tr:lh:7106,"H 50491 / A (LK VII,9)",183974,,"Erg beschadigde affiche, vooral onderaan ontbrekende delen.",,Nederlands,remarks
tg:lhps:52769,836450b6-b1de-5a59-9b6b-839a02ac004e,Items,1,tr:lh:5881,M 6222 / A,225295/113,isad:lh:92674,,,Nederlands,remarks
tg:lhps:50754,61f89417-10a6-52c6-b24e-2ecc34ac118f,Items,1,,T 19 / A,,,,,Nederlands,remarks
tg:lhps:36582,88dd18d8-4f4f-51d7-912a-4f6af192cb79,Items,1,,AV.5835,225272/1736,isad:lh:92876,,,Nederlands,remarks
tg:lhps:51846,7656c07d-59be-50fb-878e-b1d06efba0f6,Items,1,tr:lh:110342,C 338676 / A,,,,,Nederlands,remarks
tg:lhps:2034,cc894cf9-fe3a-52a0-adad-a77c9f1dce03,Items,1,,E 4152 / A,238351,,,,Nederlands,remarks
tg:lhps:31247,3fc3402a-a53a-5710-8b23-456f6b32079f,Items,1,,SS 59 / A,225269/39,,,,Nederlands,remarks
tg:lhps:4949,e9cc5859-8cb5-566c-90be-90f6497b428a,Items,1,,L 4312 / A,239306,,,,Nederlands,remarks
tg:lhps:55106,e7bb1bfc-61e0-5594-886d-39d10a2e91b7,Items,1,tr:lh:110342,BB 289 / A,,,,,Nederlands,remarks
tg:lhps:28436,d9500ce6-58f1-5f0b-81b8-977ad43b761d,Items,1,tr:lh:9937,V 75457 / A (VM124),225261/124,isad:lh:92204,,,Nederlands,remarks
tg:lhps:6974,9239d591-637b-551a-810c-1dea594a30b3,Items,1,,S 5621 / A,237222,,,,Nederlands,remarks
tg:lhps:6974,9239d591-637b-551a-810c-1dea594a30b3,Items,2,tr:lh:7497,S 5621 / A,197397/6,,,,Nederlands,remarks
tg:lhps:18080,4923404d-f6f3-5eee-b15d-c683565868b1,Items,1,,C 227 / A,225099,,,,Nederlands,remarks
tg:lhps:7666,5b0600c2-9122-58d3-8103-c5de0513efcd,Items,1,tr:lh:7019,T 29707 / A,182501/1,,,,Nederlands,remarks
tg:lhps:60248,8c1c004d-91e4-5f5f-9b6f-b269a9141ce3,Items,1,tr:lh:110342,E 4152 / A,,,,,Nederlands,remarks
tg:lhps:36428,58505d1a-1fc2-50f6-8945-94f61adb875c,Items,1,,AV.5682,225272/1586,isad:lh:92876,,,Nederlands,remarks
tg:lhps:62275,aa150e10-4ae8-5b06-8bf3-4582cb89763f,Items,1,,AA 155 / A,,,,,Nederlands,remarks
tg:lhps:34415,ff6e7d28-1b8f-503c-9b26-81cae3d3b4a2,Items,1,,AV.38.5.10.556,225272/2390,isad:lh:92750,,,Nederlands,remarks
tg:lhps:49125,f1179658-2cf7-51cf-8882-e2ef6b378597,Items,1,,OO 62 / A,225293/403,,,,Nederlands,remarks
tg:lhps:17375,c5c4d93f-1aa1-54c2-9aca-ab914e40f820,Items,1,,G 118 / A,217040,,,,Nederlands,remarks
tg:lhps:41515,a1746d0d-3288-5020-a022-43f131c807ea,Items,1,tr:lh:6909,A 2472 / A,171002/2,isad:lh:92176,,,Nederlands,remarks
tg:lhps:8593,89fab3f8-a288-5d8c-a41a-6452438eb6c8,Items,1,tr:lh:4749,"O 393 / A (LK I,2)",92543,,,,Nederlands,remarks
tg:lhps:15348,c0a6ea74-a869-5381-843d-8baa81696b2f,Items,1,,T 16123 / A,215810,,,,Nederlands,remarks
tg:lhps:43528,c2467c0e-79db-5e61-b47f-a25c89d4cdcd,Items,1,,D 56 / A,225284/192,,,,Nederlands,remarks
tg:lhps:20006,836a8d75-774a-50b1-9516-f49332aee538,Items,1,,S 626525 / A,215047/93a,,,,Nederlands,remarks
tg:lhps:25204,16514f12-7a8b-55f6-8ed4-2c5197eeefb0,Items,1,,M 706 / A,225255/140,,,,Nederlands,remarks
tg:lhps:58734,6cdc2eec-5fb3-5330-b4c2-8839c41b12a6,Items,1,,F 221 / A,,isad:lh:139280,Uit F 221 / 51,,Nederlands,remarks
tg:lhps:47838,ff8cc032-3351-5b8e-9c36-1c81171bda82,Items,1,,M 9352 / A,225292/62,,,,Nederlands,remarks
tg:lhps:45805,cc8dc946-7569-5ad2-9afb-6584fa3dd890,Items,1,,K 4167 / A,225289/891,,,,Nederlands,remarks
tg:lhps:27239,c783535a-af9e-5e4d-a16c-cb0f7ad1b77b,Items,1,tr:lh:7875,O 3369 / A (CM3158),225212/4156,isad:lh:92200,,,Nederlands,remarks
tg:lhps:12177,021c4a72-cd89-5d67-bd65-b1b6838737ac,Items,1,tr:lh:7755,T 19665 / A,200877/199,isad:lh:92200,,,Nederlands,remarks
tg:lhps:44717,2654eb04-e256-539d-af10-ae9c20458e9c,Items,1,,G 3633 / A,225289/53,,,,Nederlands,remarks
tg:lhps:8069,d6f1c5ba-0476-514d-af32-e66e7f42dc12,Items,1,tr:lh:7019,T 3645 / A,180317,,,,Nederlands,remarks
tg:lhps:59826,cef9134e-9ec9-5e9b-864e-618da524c678,Items,1,tr:lh:110342,FF 1 / A,,,,,Nederlands,remarks
tg:lhps:2464,8c45cb35-6b57-599a-b00d-4d959ef66ea0,Items,1,,F 131 / A,238567/1,,,,Nederlands,remarks
tg:lhps:31617,562056ac-e857-5ef1-b8f6-79a0ddf8e54f,Items,1,,T 26513 / A,225269/300,,,,Nederlands,remarks
tg:lhps:30905,4330bb68-5bf5-53f2-b774-35a85cf5b908,Items,1,,S 810974 / A,225263/827,,,,Nederlands,remarks
tg:lhps:52339,bd550db0-5884-547b-9c39-a5c3e17a3a96,Items,1,tr:lh:110437,M 631 / A,,,,,Nederlands,remarks
tg:lhps:50304,2148b987-5984-5da1-8c40-2089b69577ac,Items,1,,R 805 / A,225294/53,,,,Nederlands,remarks
tg:lhps:32938,a92871f7-57e4-55b8-9662-5741f5bfb28a,Items,1,,AV.14.6.816,225272/875,isad:lh:92873,,,Nederlands,remarks
tg:lhps:48364,c38a523b-c346-50b1-a52c-aa743629e586,Items,1,,MM 42 / A,225292/527,,,,Nederlands,remarks
tg:lhps:28965,a4849903-9404-525f-b731-4028b9cbb036,Items,1,tr:lh:9937,V 75457 / A (VM448),225261/448,isad:lh:92204,,,Nederlands,remarks
tg:lhps:32191,7c5c0ecd-42b8-5bb2-b5b3-c5173d5eb652,Items,1,,"AV.14.6.121 (LK VII,1)",225272/121,isad:lh:92873,,,Nederlands,remarks
tg:lhps:61009,86e7ba3b-3b5a-5acf-a9c7-386153c2d15b,Items,1,,O 33745 / A,,,,,Nederlands,remarks
tg:lhps:6427,daf5b367-7cfc-57ff-8908-148ac653fed9,Items,1,tr:lh:5565,"P 545 / A (LK I,3)",110830/140,isad:lh:92393,,,Nederlands,remarks
tg:lhps:54347,dbd6c869-7bf2-5c59-958d-0e3a75577813,Items,1,tr:lh:110342,BB 193 / A,,,,,Nederlands,remarks
tg:lhps:29677,f8aacfae-bf00-55fe-bfae-6cb7b354bd83,Items,1,,P 9707 / A,225263/216,,,,Nederlands,remarks
tg:lhps:34946,971e1137-8229-5058-bc28-aea4650e33e3,Items,1,,AV.81.7.0,225272/2567,isad:lh:92220,,,Nederlands,remarks
tg:lhps:53482,35ea67ed-741f-5fc0-928e-0b7fe2b21542,Items,1,tr:lh:110505,F 221 / A,,isad:lh:135969,,,Nederlands,remarks
tg:lhps:26582,de2bc2fa-3aec-53ef-b341-1e9df91f71f3,Items,1,,O 33695 / A,225256/95,,,,Nederlands,remarks
tg:lhps:41846,162622c5-0d46-5d71-a598-9fca72c26e1e,Items,1,,AA 25 / A,225276/338,,,,Nederlands,remarks
tg:lhps:21247,142fcf73-895f-55a4-8dd8-d422ac49d6d1,Items,1,,H 905 / A,215095/19,,,,Nederlands,remarks
tg:lhps:47091,d3d7af7f-3665-569a-9232-4d17da2b405b,Items,1,,BB 597 / A,,,,,Nederlands,remarks
tg:lhps:14109,6c5105af-5eb4-5bd6-a465-21850ab56d0a,Items,1,tr:lh:7632,D 9935 / A,214582,,,,Nederlands,remarks
tg:lhps:42769,7ee69596-0c67-506d-a0ab-86ea5a23907c,Items,1,,C 20385 / A,225279/465,,,,Nederlands,remarks
tg:lhps:16134,e1ae9d6c-4029-5abe-96d4-6413fe512ffd,Items,1,,B 18237 / A,215956,,,,Nederlands,remarks
tg:lhps:40754,466e91e8-3daa-55cb-844f-3aaf73ec5ca6,Items,1,,V 7536 / A,225273/78a,,,,Nederlands,remarks
tg:lhps:42293,597a8e86-030d-5bbb-8ef1-bbe5b6c4a9de,Items,1,tr:lh:7875,B 55115 / A,225212/910,isad:lh:92200,,,Nederlands,remarks
tg:lhps:22892,d8719e02-7096-511d-9d6a-d327d0ed4a01,Items,1,tr:lh:7875,O 3369 / A (CM 386),225212/1383,isad:lh:92200,,,Nederlands,remarks
tg:lhps:13336,09c8e324-76a4-5ee7-8696-333f744d530f,Items,1,tr:lh:7632,S 4687 / A,213871,,,,Nederlands,remarks
tg:lhps:9228,6afbace3-2836-5491-b9ec-19c9d9dcbc26,Items,1,tr:lh:7010,S 4685 / A,176787/3,,,,Nederlands,remarks
tg:lhps:9228,6afbace3-2836-5491-b9ec-19c9d9dcbc26,Items,2,tr:lh:7316,S 4685 / A,184246,,,,Nederlands,remarks
tg:lhps:9228,6afbace3-2836-5491-b9ec-19c9d9dcbc26,Items,3,tr:lh:103936,S 4685 / A,,,,,Nederlands,remarks
tg:lhps:23780,8ffded85-f26f-5ea6-8a72-fb5bd74b2ecc,Items,1,tr:lh:7875,O 3369 / A (CM874),225212/1871,isad:lh:92200,,,Nederlands,remarks
tg:lhps:26078,464bcb4e-2a0a-509f-bb77-db55f4e1d84d,Items,1,tr:lh:7875,O 3369 / A (CM2310),225212/3308,isad:lh:92200,,,Nederlands,remarks
tg:lhps:24045,6aa2f7e4-1e99-59d2-bdab-327a31a75e72,Items,1,tr:lh:7875,O 3369 / A (CM1057),225212/2054,isad:lh:92200,,,Nederlands,remarks
tg:lhps:59575,8c3f6475-cc0f-5417-8ad7-fd3c0166bf56,Items,1,tr:lh:110342,F 245 / A,,,,,Nederlands,remarks
tg:lhps:51145,3bfe615d-fef9-5729-b8a0-b94d07f65321,Items,1,,SS 224 / A,216829/624,,,,Nederlands,remarks
tg:lhps:2937,c55fd21f-4acf-51cd-8667-09f8f3e1d143,Items,1,,G 9662 / A (LH.149),233061,,,,Nederlands,remarks
tg:lhps:18829,99562a90-917c-5f48-be5e-34fcc950f5bc,Items,1,,D 11923 / A,215038/30a,,,,Nederlands,remarks
tg:lhps:56680,44db6fe4-7028-59cf-a02d-02ef1f1d97a2,Items,1,,W 9075 / A,225299/495,,,,Nederlands,remarks
tg:lhps:1618,93d1fc94-eff9-5233-9bad-eab09925e92b,Items,1,tr:lh:3862,P 314 / A,74024/19,isad:lh:92196,,,Nederlands,remarks
tg:lhps:1618,93d1fc94-eff9-5233-9bad-eab09925e92b,Items,2,,P 314 / A,237202,,,,Nederlands,remarks
tg:lhps:1618,93d1fc94-eff9-5233-9bad-eab09925e92b,Items,3,tr:lh:7087,S 5621 / A,177564,,,,Nederlands,remarks
tg:lhps:30456,3d7f4a19-e385-54e5-8709-d8d7cb8d4099,Items,1,tr:lh:9936,S 282 / A (CS 46),225267/51,isad:lh:92208,,,Nederlands,remarks
tg:lhps:57992,ca099ab8-124e-54bb-9cc9-4476f0b15194,Items,1,tr:lh:110342,F 245 / A,,,,,Nederlands,remarks
tg:lhps:3625,ed06811e-0176-511b-88e9-99d2fc7ba380,Items,1,tr:lh:7705,"C 20401 / A (LK V,4)",200301/186,isad:lh:92249,,,Nederlands,remarks
tg:lhps:3625,ed06811e-0176-511b-88e9-99d2fc7ba380,Items,2,,"C 20401 / A (LK V,4)",239958,,,,Nederlands,remarks
tg:lhps:29227,ae1cf7f4-6f8b-5e1f-b370-78892d73dff3,Items,1,tr:lh:9937,V 75457 / A (VM698),225261/698,isad:lh:92204,,,Nederlands,remarks
tg:lhps:29227,ae1cf7f4-6f8b-5e1f-b370-78892d73dff3,Items,2,tr:lh:9937,AA 125 / A,225261/698,isad:lh:92204,,,Nederlands,remarks
tg:lhps:18983,f5b3fd48-50e7-538b-8657-a882d4befd2a,Items,1,,SS 150 / A,215039/3,,,,Nederlands,remarks
tg:lhps:54717,d3769839-370b-596b-9499-5865277548ed,Items,1,tr:lh:110342,LL 145 / A,,,,,Nederlands,remarks
tg:lhps:49826,1e2a8435-45e3-5bce-8523-78a42faf0618,Items,1,tr:lh:110342,K 81 / A,,,,,Nederlands,remarks
tg:lhps:48734,785ddc33-4bb8-593e-9fe4-d3e966ded664,Items,1,,NN 7 / A,225293/151,,,,Nederlands,remarks
tg:lhps:35204,3fc5dea4-1d41-5d88-ac74-d1695d2b996e,Items,1,,AV.93.2.6,225272/2544,isad:lh:92220,,,Nederlands,remarks
tg:lhps:57838,b66be156-6131-5a06-87ae-aa454f010785,Items,1,,F 221 / A,,isad:lh:136163,Uit F 221 / 11,,Nederlands,remarks
tg:lhps:55805,aaa0976b-c199-52d4-ab5c-53fc49dcb787,Items,1,tr:lh:110342,A 389 / A,,,,,Nederlands,remarks
tg:lhps:19691,2c9561c7-1fee-5cdc-a808-83afaf282546,Items,1,,E 2362 / A,215052/1,,,,Nederlands,remarks
tg:lhps:6077,f0e7ca8d-4998-54bf-ad50-1a2f420a0403,Items,1,tr:lh:5834,"O 33745 / A (LK II,4)",122671/1,isad:lh:92484,,,Nederlands,remarks
tg:lhps:61459,2999ff64-1419-52b6-a0d6-6b7c1120cd2f,Items,1,,M 9321 / A,,,59 x 42,,Nederlands,remarks
tg:lhps:61459,2999ff64-1419-52b6-a0d6-6b7c1120cd2f,Items,2,,M 9321 / A,,,"118,5 x 84",,Nederlands,remarks
tg:lhps:20905,35b6fa9e-bcc4-530e-be8e-16661810d204,Items,1,,H 4999 / A,215086/49,,,,Nederlands,remarks
tg:lhps:42339,29346dc3-510f-5086-b9f1-22ddb45d1f59,Items,1,,B 55115 / A,225279/168,,,,Nederlands,remarks
tg:lhps:14559,b4f368a5-cad9-53ff-9d1f-769e78e0470e,Items,1,,C 20401 / A,214995,,,,Nederlands,remarks
tg:lhps:14559,b4f368a5-cad9-53ff-9d1f-769e78e0470e,Items,2,tr:lh:9938,C 20401 / A,225045/353,isad:lh:92227,,,Nederlands,remarks
tg:lhps:40304,4875a1c2-c35c-509b-8f81-9505e5555a21,Items,1,,V 37375 / A,225271/334,,,,Nederlands,remarks
tg:lhps:16564,8782d2e7-9b71-5037-99ce-375b9c853122,Items,1,,B 74188 / A,216385,,,,Nederlands,remarks
tg:lhps:9382,3155571b-c2d3-5af3-ac44-7075371d65a2,Items,1,tr:lh:7316,S 4685 / A,184386,,,,Nederlands,remarks
tg:lhps:22938,263de51c-a171-550f-a25f-c8237a9dceaa,Items,1,,K 982 / A,225233/3,,,,Nederlands,remarks
tg:lhps:21617,aa14e1ba-4df8-53c5-adfd-fd9c164b74d9,Items,1,,J 287 / A,215099/151,,,,Nederlands,remarks
tg:lhps:12874,300b31ce-9da3-5b8d-9100-aa1c047ac8de,Items,1,,"P 1959 / A (LK IV,3)",235051,,,,Nederlands,remarks
tg:lhps:26428,e911aa22-1dc6-5f8f-b783-cd20aeea5af4,Items,1,tr:lh:7875,O 3369 / A (CM2506),225212/3504,isad:lh:92200,,,Nederlands,remarks
tg:lhps:59125,873f78b4-ae11-5d58-8011-0faa95448291,Items,1,tr:lh:110342,C 338671 / A,,,,,Nederlands,remarks
tg:lhps:24415,f5463106-8ad2-518b-b614-931cc2d46ee4,Items,1,tr:lh:7875,O 3369 / A (CM1421),225212/2418,isad:lh:92200,,,Nederlands,remarks
tg:lhps:787,2ecfa202-7065-5fb2-8af8-c0e16009be88,Items,1,,B 435 / A,238005,,,,Nederlands,remarks
tg:lhps:787,2ecfa202-7065-5fb2-8af8-c0e16009be88,Items,2,,V 37789 / A,238005,,,,Nederlands,remarks
